region,actor_id,emissions_per_activity,reference,year,gpc_reference_number,methodology_name,units,metadata,gas,datasource_id,methodology_id,id
United Arab Emirates,AE,0.27014400000000005,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,40b1f0d3-47dd-4732-a84b-752aa22568f0
United Arab Emirates,AE,0.0016997315436241612,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,2ac827e5-35eb-4ed3-ad04-04ec9da9a007
United Arab Emirates,AE,6.184615384615385e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,ff97bdf7-9f91-4e19-95e7-6bd41f718140
United Arab Emirates,AE,0.24204000000000003,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,d8b2777e-2703-318e-b45c-4ad879b6c304,9b9b32eb-940e-34d4-894e-6cc1533a128d,de9d8577-d788-4a63-9ced-68e77afdb27e
United Arab Emirates,AE,0.0015229026845637586,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,d8b2777e-2703-318e-b45c-4ad879b6c304,9b9b32eb-940e-34d4-894e-6cc1533a128d,f84cf6f7-8cdf-4be2-88ff-fd15ce410e57
United Arab Emirates,AE,5.541208791208792e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,d8b2777e-2703-318e-b45c-4ad879b6c304,9b9b32eb-940e-34d4-894e-6cc1533a128d,0239f68e-8f74-43ed-930d-b4867450afc4
United Arab Emirates,AE,0.23331999999999997,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,0fc5d9d9-592f-4769-ae1d-498612953547
United Arab Emirates,AE,0.0014680369127516777,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,62c34c30-dae9-43a7-9be8-b9760ef4c67d
United Arab Emirates,AE,5.341575091575091e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,50d1bfb0-863c-408d-84e8-e093cd4119cb
United Arab Emirates,AE,0.22835200000000003,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,577f69b9-4a4b-45cc-b824-16684bcd63b3
United Arab Emirates,AE,0.001436778523489933,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,40a57e34-e238-4352-8371-b3442d2e6ac1
United Arab Emirates,AE,5.2278388278388286e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,b88fc2aa-9df2-393a-8f35-ebe24291a9be,9b9b32eb-940e-34d4-894e-6cc1533a128d,d8957ec7-27f0-4046-ab5a-fb8fcb23a64f
Afghanistan,AF,0.0606,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,545254b2-2a76-4f09-99fc-b7459e473f5a
Afghanistan,AF,0.0003812919463087248,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,acb6df5a-85e6-4fb3-9ac6-1ddaa7579b35
Afghanistan,AF,1.3873626373626374e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,e4bf679a-33b5-4010-8830-e1e8a3296325
Afghanistan,AF,0.06716000000000001,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,2de011ab-7b46-33bc-9888-b5d9fdfa8ba0,9b9b32eb-940e-34d4-894e-6cc1533a128d,e2dbfac7-e78d-4b65-9e7a-ebdbaeb53147
Afghanistan,AF,0.00042256711409395975,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,2de011ab-7b46-33bc-9888-b5d9fdfa8ba0,9b9b32eb-940e-34d4-894e-6cc1533a128d,94965d5f-df33-44fa-9e48-ec05280a0969
Afghanistan,AF,1.5375457875457877e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,2de011ab-7b46-33bc-9888-b5d9fdfa8ba0,9b9b32eb-940e-34d4-894e-6cc1533a128d,495dc97b-5af3-4bf5-8102-fb63dfb95feb
Afghanistan,AF,0.066216,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,529a37b9-4163-4f9a-aed1-036dd121a136
Afghanistan,AF,0.00041662751677852344,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,453ee422-1ef3-4e20-9763-9b01e10b0e3c
Afghanistan,AF,1.5159340659340658e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,07f28d15-e43f-4630-9f08-81f7ecb860f7
Afghanistan,AF,0.06688,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,3afa8cd7-b1bf-4c6f-8591-417fdec941f6
Afghanistan,AF,0.00042080536912751675,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,af9b4bfa-7a0a-4bd7-b8e6-f3e004a4da5d
Afghanistan,AF,1.531135531135531e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2024,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,c8a14e95-5468-436e-9773-1119b2f7c54f
Antigua and Barbuda,AG,0.433712,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,c7a6f3f7-d1da-4a14-b284-ac7c5e9eaca5
Antigua and Barbuda,AG,0.002728892617449664,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,419873f5-ca2c-45a5-bac8-75d2bd61b296
Antigua and Barbuda,AG,9.92930402930403e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2021,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,f2d590d3-4976-41d3-b345-793824540d55
Antigua and Barbuda,AG,0.434608,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,bbc804f3-04af-3084-9f83-e031758b1e18,9b9b32eb-940e-34d4-894e-6cc1533a128d,aeccf390-639d-4b04-8020-2b1eebda1ab9
Antigua and Barbuda,AG,0.0027345302013422816,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,bbc804f3-04af-3084-9f83-e031758b1e18,9b9b32eb-940e-34d4-894e-6cc1533a128d,74a910bf-7e59-4026-a275-f2228f7d482f
Antigua and Barbuda,AG,9.949816849816849e-05,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2022,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},N2O,bbc804f3-04af-3084-9f83-e031758b1e18,9b9b32eb-940e-34d4-894e-6cc1533a128d,fc393263-554a-4308-a6fe-828195279e43
Antigua and Barbuda,AG,0.43442400000000003,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CO2,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,a7216e28-fb16-4b2f-b56a-c5a1adf23da9
Antigua and Barbuda,AG,0.0027333724832214763,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,2023,I.1.2,energy-consumption-residential-buildings-methodology,kg/kWh,{},CH4,a7350de0-c5de-30a3-96cd-48d965b6174f,9b9b32eb-940e-34d4-894e-6cc1533a128d,68cd266c-5b2e-4321-a983-8973566bf672
