id,source_name,GPC_refno,country_name,country_code,temporal_granularity,year,activity_name,activity_value,activity_units,gas_name,emission_factor_value,emission_factor_units,emissions_value,emissions_units
85700111-3729-30ef-b38e-3ce80b843cec,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by residential buildings,3680,kJ,CO2,0.0,kg/TJ,0,kg
3b707f54-2520-3c48-8ec6-b27524cbef2e,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by residential buildings,3680,kJ,CH4,300.0,kg/TJ,1104245,kg
57a94522-9840-314e-b57a-af7fb16e977c,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by residential buildings,3680,kJ,N2O,4.0,kg/TJ,14723,kg
9e175a00-99bc-3c66-a4a7-92b05834f9a7,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by residential buildings,44864,kJ,CO2,63100.0,kg/TJ,2830965344,kg
218bc6c5-22d3-3e60-a7ce-c0bf30b28a81,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by residential buildings,44864,kJ,CH4,5.0,kg/TJ,224323,kg
7da860d4-6d23-38a1-a1e4-7e223a8a3b6a,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by residential buildings,44864,kJ,N2O,0.1,kg/TJ,4486,kg
d543d8b0-d1be-3221-ba72-9c512abdf9a6,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Jet Kerosene by residential buildings,101,kJ,CO2,71500.0,kg/TJ,7221908,kg
711884b4-0b30-31c4-a814-3b934a7209f1,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Jet Kerosene by residential buildings,101,kJ,CH4,10.0,kg/TJ,1010,kg
b5cdd574-bd0e-3fc6-8911-d2d9e6e81438,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Jet Kerosene by residential buildings,101,kJ,N2O,0.6,kg/TJ,60,kg
58300a08-427c-3592-8298-fb1cd98a3b8e,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by residential buildings,7154,kJ,CO2,112000.0,kg/TJ,801248753,kg
36f12e5d-837d-3fea-b395-d616add465c3,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by residential buildings,7154,kJ,CH4,200.0,kg/TJ,1430801,kg
ca52e16b-55f0-3d0d-a925-1b7b2ecea54f,BEN,I.1.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by residential buildings,7154,kJ,N2O,1.0,kg/TJ,7154,kg
a8c1d464-30a7-3d29-b8b2-a149a996360d,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by commercial buildings,1840,kJ,CO2,112000.0,kg/TJ,206125886,kg
ae92d947-28ca-33b0-80ac-570ce622582c,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by commercial buildings,1840,kJ,CH4,300.0,kg/TJ,552122,kg
d562a433-6b13-3e43-903d-8c8aeeb966fe,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by commercial buildings,1840,kJ,N2O,4.0,kg/TJ,7361,kg
18e9bcef-3704-3af9-9a2b-990121ad16cc,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by commercial buildings,7477,kJ,CO2,63100.0,kg/TJ,471827557,kg
387ecb69-0792-36c5-9456-437c435366c3,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by commercial buildings,7477,kJ,CH4,5.0,kg/TJ,37387,kg
159ddfde-9593-3c39-9fee-317a25519478,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by commercial buildings,7477,kJ,N2O,0.1,kg/TJ,747,kg
e4807128-8885-31fa-ab33-35e1e77ca6d2,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by commercial buildings,4769,kJ,CO2,112000.0,kg/TJ,534165835,kg
e4db12ce-15ef-3c9b-9bae-36a60a0fffa4,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by commercial buildings,4769,kJ,CH4,200.0,kg/TJ,953867,kg
3db8da66-585c-3d7a-a690-16a5bbec186e,BEN,I.2.1,Argentina,AR,annual,2020,fuel consumption of Charcoal by commercial buildings,4769,kJ,N2O,1.0,kg/TJ,4769,kg
6d874c44-b9aa-3714-85ae-d8c217f30411,BEN,I.5.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by agricultural activities,3115,kJ,CO2,63100.0,kg/TJ,196594815,kg
7f9566f3-a6e8-31f3-ae7f-e9e9a43276d4,BEN,I.5.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by agricultural activities,3115,kJ,CH4,5.0,kg/TJ,15578,kg
50927be2-2c29-3cd2-bf31-4dcfb43b924f,BEN,I.5.1,Argentina,AR,annual,2020,fuel consumption of Liquefied Petroleum Gases by agricultural activities,3115,kJ,N2O,0.1,kg/TJ,311,kg
83678800-046c-3dda-85bf-5b4fdc58f191,BEN,I.3.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by industrial buildings,3680,kJ,CO2,112000.0,kg/TJ,412251773,kg
ac1cbfa4-2c4b-3531-8663-f5316a152add,BEN,I.3.1,Argentina,AR,annual,2020,fuel consumption of Wood/Wood Waste by industrial buildings,3680,kJ,CH4,30.0,kg/TJ,110424,kg
