"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","43948586","140649795","140649795","35535.9783","35535.9783","2022"
"AUTOMOBILE","IN-BOUNDARY","40255456","127940950","127940950","32325.0156","32325.0156","2021"
"AUTOMOBILE","IN-BOUNDARY","25940852","76677722","76677722","19373.0667","19373.0667","2020"
"AUTOMOBILE","IN-BOUNDARY","42217835","158206538","158206538","39971.7902","39971.7902","2019"
"AUTOMOBILE","IN-BOUNDARY","41845175","196857658","196857658","49737.2153","49737.2153","2018"
"AUTOMOBILE","INBOUND","58327815","702945191","351472595.5","177603.1387","88801.5693","2022"
"AUTOMOBILE","INBOUND","50948087","554608743","277304371.5","140125.0834","70062.5417","2021"
"AUTOMOBILE","INBOUND","32343530","307295486","153647743","77639.969","38819.9845","2020"
"AUTOMOBILE","INBOUND","50370832","605758290","302879145","153048.3101","76524.1551","2019"
"AUTOMOBILE","INBOUND","50333137","672128686","336064343","169817.1637","84908.5819","2018"
"AUTOMOBILE","OUTBOUND","58305705","647902170","323951085","163696.2034","81848.1017","2022"
"AUTOMOBILE","OUTBOUND","50620043","510513484","255256742","128984.163","64492.0815","2021"
"AUTOMOBILE","OUTBOUND","32369373","293615742","146807871","74183.7031","37091.8516","2020"
"AUTOMOBILE","OUTBOUND","52066484","585747196","292873598","147992.3923","73996.1962","2019"
"AUTOMOBILE","OUTBOUND","51692378","643401146","321700573","162558.9861","81279.4931","2018"
"AUTOMOBILE","TOTAL","160582106","1491497156","816073475.5","376835.3204","206185.6493","2022"
"AUTOMOBILE","TOTAL","141823586","1193063177","660502063.5","301434.262","166879.6388","2021"
"AUTOMOBILE","TOTAL","90653755","677588950","377133336","171196.7388","95284.9028","2020"
"AUTOMOBILE","TOTAL","144655151","1349712024","753959281","341012.4927","190492.1414","2019"
"AUTOMOBILE","TOTAL","143870690","1512387490","854622574","382113.3651","215925.2902","2018"
"BUS","IN-BOUNDARY","7316440","25084327","25084327","11842.7312","11842.7312","2022"
"BUS","IN-BOUNDARY","4252286","14452240","14452240","6823.1448","6823.1448","2021"
"BUS","IN-BOUNDARY","2675730","8717767","8717767","4115.8039","4115.8039","2020"
"BUS","IN-BOUNDARY","4802217","15886845","15886845","7500.4458","7500.4458","2019"
"BUS","IN-BOUNDARY","6173636","18305913","18305913","8642.5277","8642.5277","2018"
"BUS","INBOUND","19958677","161332835","80666417.5","76167.9357","38083.9678","2022"
"BUS","INBOUND","12798834","101445457","50722728.5","47894.1007","23947.0503","2021"
"BUS","INBOUND","7145223","56739469","28369734.5","26787.6544","13393.8272","2020"
