Title,CDP definition,Priority,C40 (matched list),Adaption/Mitigation,Category 1,Category 2,Explainer for action card,Quantification,What type of Q ,Scale,Implementation Period,Cost of action ,Climate hazards adressed,Emissions Source Category,Extent,Air Quality,Human Health,Water Quality,Urban Greenspace,Ecosystems ,Long-Term Employment,Income and Poverty,Housing,Mobility,Energy,Waste Management,Water and Sanitation,Notes VM,Responsible
Building Codes,Building Codes,Y,15,Mitigation,Stationary Energy,Buildings,"""Building Codes and Standards"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.",Yes,Sub-versions (categories),Citywide,5-10 years,Medium cost,,Total Stationary Energy,0-19%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Building Codes,Building Codes,Y,15,Mitigation,Stationary Energy,Buildings,"""Building Codes and Standards, Residential Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.",,,Citywide,5-10 years,Medium cost,,Stationary energy > Residential buildings,80%-100%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Building Codes,Building Codes,Y,15,Mitigation,Stationary Energy,Buildings,"""Building Codes and Standards, Commercial Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.",,,Citywide,5-10 years,Medium cost,,Stationary energy > Commercial buildings & facilities,80%-100%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Building Codes,Building Codes,Y,15,Mitigation,Stationary Energy,Buildings,"""Building Codes and Standards, Institutional Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.",,,Citywide,5-10 years,Medium cost,,Stationary energy > Institutional buildings & facilities,80%-100%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Building Codes,Building Codes,Y,15,Mitigation,Stationary Energy,Buildings,"""Building Codes and Standards, Industrial Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.",,,Citywide,5-10 years,Medium cost,,Stationary energy > Industrial buildings & facilities,80%-100%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Retrofit Measures,"Energy efficiency/ retrofit measures addressing existing commercial, residential and/or municipal buildings",Y,"13, 17",Mitigation,Stationary Energy,Energy efficiency,"""Retrofit Measures"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.",Yes,Sub-versions (categories),Citywide,5-10 years,High cost,,Total Stationary Energy,0-19%,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Retrofit Measures,"Energy efficiency/ retrofit measures addressing existing commercial, residential and/or municipal buildings",,17,Mitigation,Stationary Energy,Energy efficiency,"""Retrofit Measures, Residential buildings"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.",,,Citywide,5-10 years,High cost,,Stationary energy > Residential buildings,80%-100%,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Retrofit Measures,"Energy efficiency/ retrofit measures addressing existing commercial, residential and/or municipal buildings",,17,Mitigation,Stationary Energy,Energy efficiency,"""Retrofit Measures, Commercial buildings"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.",,,Citywide,5-10 years,High cost,,Stationary energy > Commercial buildings & facilities,80%-100%,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
New Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra-high-efficiency standards for new buildings",Y,15,Mitigation,Stationary Energy,Buildings,"""New Building Standards"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",Yes,Sub-versions (categories),Regional/state/national,<5 years,Low cost,,Total Stationary Energy,0-19%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
New Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra-high-efficiency standards for new buildings",,15,Mitigation,Stationary Energy,Buildings,"""New Building Standards, Residential buildings"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Residential buildings,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
