gas,region,units,reference,gpc_reference_number,actor_id,emissions_per_activity,methodology_name,metadata,year,methodology_id,id
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.1.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,f01a557f-cded-47a2-bcfc-73e3a640fee9
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.1.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,e52fa22f-140b-4e8e-bb7a-cf81457739d5
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.1.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,3728dea9-bbd2-44ec-b43e-74de2c83d614
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.1.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,61cbdce1-691b-4dc7-a385-2c4b3c82337d
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.2.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,65b9185e-19e3-49e2-a98b-6e0d1c806415
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.2.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,09cff1ab-0b14-41d3-b870-5e4b83ce6ad8
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.2.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,f0db3cd2-41c9-49af-9606-5fa9eb2835dd
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.2.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,8cfd4d89-17ec-4cf6-b4d6-b118c2d3fd08
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.3.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,d517effb-0df3-4c7c-a88c-c84765155e05
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.3.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,6c185f2a-279d-4372-90c4-b7e9516e98cb
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.3.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,65efb695-cd5d-41d2-822b-ee33bd208a0c
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.3.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,c97d063d-9346-483d-813d-3e1d6ae52058
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.4.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,dc4b273f-baaf-4e44-bfad-e1bcc081ecda
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.4.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,3b0bd2d3-d373-46e0-98d3-43dd072b8ebd
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.4.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,b6d797f4-545b-436d-b406-3df564e1802d
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.4.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,2220bfce-4a6d-454f-9b8b-b42e099d2603
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.5.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,3930bea4-33de-4e60-bde6-2e1ae8c2569b
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.5.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,285d95f5-76ed-48a5-9e6c-50c5857c019a
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.5.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,5460d500-0784-4454-8ea5-51aef6c4a91b
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.5.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,3f4c05e2-5501-400b-bfd8-a4605899c940
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.6.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,7754d39a-31fb-4a26-b4a6-0f5769612a94
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.6.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,5de20a21-3647-4650-aec9-e799cb9595ec
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.6.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,ad69c5f6-6e61-4eb5-9d69-15a3bfde9474
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,I.6.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,8b27dd17-6b14-4b44-9370-7a4baa0dd628
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.1.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,b82b0ec3-8e63-49d8-a84a-042045462250
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.1.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,cd979309-181f-4a3a-b967-27582a1c8abb
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.1.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,e7a1db6b-e330-491a-9ea9-57609218e747
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.1.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,f91590bc-7c79-42c6-bf34-d3e417630e74
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.2.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,9acc4ce8-0fe4-4420-953d-bdfa674d7a3a
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.2.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,32776572-9c8d-49e8-8038-cf302d079c19
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.2.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,2e5f2de7-4785-4dd8-bf59-881785c26cbc
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.2.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,fb4665a8-8e40-4299-a803-4f42dd913dc9
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.3.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,b72bfd8c-0d95-43fe-9099-f026afe28e31
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.3.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,fe352e25-1b3a-4250-a0a2-58325b861695
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.3.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,09d8e0bf-fb9e-4557-84e3-37f8da96a947
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.3.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,60b2236a-1a74-40b4-ae7d-0764aaa30a9c
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.4.2,AF,0.08352979738447883,electricity-consumption,CO2e_value:0.104,2021,a48514e5-4768-316e-9857-cbc6c85656fa,62dcded9-d741-4cb3-acc8-88c69279f7f1
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.4.2,AF,0.08352979738447883,energy-consumption,CO2e_value:0.104,2021,0eca864c-3457-3e90-bc28-d004a8e3f49a,5106ac53-e9d5-4a6a-911e-c07d2d541050
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.4.2,AF,0.08352979738447883,sampling-scaled-data,CO2e_value:0.104,2021,3f02ca39-70fb-3728-8d53-d4f66e8b30ef,e87cd4da-2f78-4ee9-a385-8e11c33fc01e
CO2,Afghanistan,kg/kWh,Calculated from Fuel Mix,II.4.2,AF,0.08352979738447883,modeled-data,CO2e_value:0.104,2021,8ac51911-476e-3427-bb93-6057b733eee0,ea2ea099-b880-4b70-adc0-0134807bad3f
