"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Datasource ID","DataSource name"
"N/A","I.1.3","Residential buildings","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.2.3","Commercial and institutional buildings and facilities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.3.3","Manufacturing industries and construction","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.1","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.2","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.3","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.3","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.1","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.2","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.3","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.7.1","Fugitive emissions from mining, processing, storage, and transportation of coal","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.8.1","Fugitive emissions from oil and natural gas systems","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.1.2","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.1.3","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.1","Railways","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.2","Railways","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.3","Railways","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.1","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.2","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.3","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.1","Aviation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.2","Aviation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.5.1","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.5.2","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"118532.332","t CO2e",,,,,,,,"0","118532316","0","df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"32acd829-2e87-38e9-aab3-8a495577ea7d","III.1.2","Solid waste disposal",,"25.401","t CO2e",,,,,,,,"0","25396","0","94b54d32-87e9-4220-a1cc-cf0058917c59","SINIR"
"N/A","III.2.1","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.2.3","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.1","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.3","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","III.4.1","Wastewater treatment and discharge",,"38262.585","t CO2e",,,,,,,,"0","29188544","9073865","b7aa7f41-37a1-468e-9394-fc0b421964de","SNIS"
"N/A","III.4.2","Wastewater treatment and discharge","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.4.3","Wastewater treatment and discharge","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","IV.1","Emissions from industrial processes occurring within the city boundary","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","IV.2","Emissions from product use occurring within the city boundary","NE",,"t CO2e",,,,,,,,"0","0","0",,
