name,description,emissions_reduction,risk_reduction,environment,population,cost,time_in_years
Sea wall,Defend agains the sea,0,High,coastal,,"10,000,000",5
Bike lanes,Build bike lanes,"100,000",,,,"1,000,000",1
Green Roofs,Install vegetation on rooftops,"50,000",Low,Urban,"500,000","2,000,000",3
Urban Tree Planting,Plant trees in urban areas to absorb CO2,"75,000",Medium,Urban,"800,000","3,500,000",5
Solar Panels,Install solar panels on public buildings,"200,000",Low,Mixed,"1,200,000","7,000,000",10
Water Recycling,Implement water recycling systems,0,High,Arid,"400,000","5,000,000",7
Flood Barriers,Build barriers to prevent flooding in cities,0,High,Coastal,"1,000,000","15,000,000",10
Electric Bus Fleet,Replace diesel buses with electric buses,"300,000",Low,Urban,"1,500,000","12,000,000",8
Rainwater Harvesting,Implement systems to collect and use rainwater,0,Medium,Mixed,"600,000","3,000,000",4
Urban Cooling Centers,Establish cooling centers to protect vulnerable populations,0,High,Urban,"400,000","2,500,000",2
Wind Energy Farms,Develop wind farms to generate renewable energy,"500,000",Low,Rural,"800,000","20,000,000",12
Community Solar Gardens,Establish shared solar power installations for communities,"150,000",Low,Suburban,"300,000","5,000,000",6
Energy Efficient Lighting,Upgrade public lighting to LED systems,"100,000",Low,Urban,"1,000,000","2,000,000",3
Wetland Restoration,Restore wetlands to absorb CO2 and reduce flood risk,"50,000",High,Coastal,"200,000","7,000,000",10
Reforestation Program,Plant trees in deforested areas to absorb CO2,"400,000",Medium,Rural,"1,000,000","10,000,000",15
Heat Island Mitigation,Implement measures to reduce urban heat islands,0,Medium,Urban,"500,000","4,500,000",5
Smart Grid Technology,Implement smart grids for efficient energy use,"200,000",Low,Mixed,"1,200,000","8,000,000",8
Urban Vertical Farming,Develop vertical farms in urban areas to reduce food transport,"30,000",Low,Urban,"200,000","3,500,000",4
Cool Roofs,Install reflective materials on roofs to reduce heat absorption,"10,000",Medium,Urban,"600,000","1,500,000",3
Electric Vehicle Charging,Expand EV charging infrastructure,"150,000",Low,Mixed,"800,000","6,000,000",6
Coastal Wetland Creation,Create new wetlands to absorb CO2 and protect coastlines,"50,000",High,Coastal,"250,000","10,000,000",8
Solar Water Heaters,Install solar water heaters in residential buildings,"40,000",Low,Suburban,"700,000","4,000,000",5
Urban Green Spaces,Increase green spaces in cities to improve air quality,"25,000",Medium,Urban,"900,000","2,500,000",3
Energy Audits,Conduct energy audits for businesses and homes,"20,000",Low,Mixed,"500,000","1,200,000",2
Public Transport Expansion,Expand and upgrade public transportation systems,"250,000",Low,Urban,"2,000,000","15,000,000",10
Waste-to-Energy Plants,Build plants that convert waste to energy,"300,000",Medium,Mixed,"1,500,000","20,000,000",12
Drought-Resistant Crops,Develop and plant drought-resistant crops to reduce water use,0,High,Rural,"400,000","5,000,000",7
Renewable Energy Mix,Transition to a mix of renewable energy sources,"500,000",Low,Mixed,,"50,000,000",20
Sustainable Agriculture,Implement sustainable farming practices,"100,000",Medium,Rural,,"15,000,000",10
Water Conservation,Implement water-saving techniques in agriculture and industry,0,High,Mixed,,"10,000,000",5
Zero Waste Initiative,Promote recycling and reduce landfill use,"75,000",Low,Urban,,"8,000,000",7
Afforestation Projects,Plant new forests on non-forest land,"600,000",Medium,Rural,,"25,000,000",15
Climate Education,Implement educational programs on climate change,0,Medium,Mixed,,"2,000,000",3
Carbon Capture,Install carbon capture technology in industrial plants,"1,000,000",Low,Industrial,,"40,000,000",10
Circular Economy Model,Adopt circular economy practices to reduce waste,"200,000",Medium,Urban,,"12,000,000",8
Low Carbon Transportation,Promote the use of low-carbon transport options,"150,000",Low,Mixed,,"10,000,000",6
Climate Resilient Infrastructure,Build infrastructure to withstand extreme weather events,0,High,Mixed,,"30,000,000",15
Mangrove Restoration,Restore mangroves to protect against storm surges and absorb CO2,"75,000",High,Coastal,,"10,000,000",7
Coastal Erosion Control,Implement measures to prevent coastal erosion,0,High,Coastal,,"20,000,000",10
Seawater Desalination,Develop desalination plants to provide fresh water,0,High,Coastal,,"50,000,000",8
Coral Reef Protection,Implement programs to protect and restore coral reefs,0,High,Coastal,,"15,000,000",10
Sustainable Fisheries,Promote sustainable fishing practices,"50,000",Medium,Coastal,,"5,000,000",5
Coastal Flood Defense,Build flood defenses to protect coastal communities,0,High,Coastal,,"30,000,000",12
Beach Nourishment,Add sand to eroding beaches to protect infrastructure,0,High,Coastal,,"8,000,000",5
Offshore Wind Farms,Develop offshore wind farms to generate renewable energy,"200,000",Low,Coastal,,"60,000,000",15
Coastal Wetland Preservation,Preserve coastal wetlands to absorb CO2 and prevent flooding,"100,000",High,Coastal,,"12,000,000",10
Sea-Level Rise Adaptation,Implement strategies to adapt to rising sea levels,0,High,Coastal,,"25,000,000",15
Community Solar Power,Develop small-scale solar power projects for local communities,"20,000",Low,Rural,"5,000","1,500,000",3
Local Food Production,Promote local agriculture to reduce food transportation emissions,"15,000",Medium,Rural,"3,000","500,000",2
Rainwater Harvesting Systems,Install rainwater harvesting systems in homes and community buildings,0,High,Rural,"2,000","300,000",2
Energy Efficient Retrofits,Retrofit homes and buildings with energy-efficient technologies,"25,000",Low,Urban,"10,000","2,000,000",4
Bicycle Infrastructure,Build bike lanes and parking to promote cycling,"10,000",Low,Urban,"7,000","750,000",3
Community Composting,Set up composting programs to reduce organic waste,"5,000",Low,Rural,"4,000","200,000",1
Microgrids for Resilience,Develop microgrids to provide energy independence during outages,"30,000",High,Mixed,"8,000","4,000,000",6
Forest Management Programs,Implement forest management to prevent wildfires and absorb CO2,"50,000",High,Rural,"6,000","2,500,000",5
Heat Pump Installations,Install heat pumps in homes to reduce heating emissions,"15,000",Low,Urban,"5,000","1,000,000",3
Small-scale Wind Turbines,Install small wind turbines to generate local renewable energy,"20,000",Low,Rural,"3,000","2,000,000",4
Community Wind Projects,Develop community-owned wind turbines,"25,000",Low,Rural,"3,500","2,500,000",5
Local Energy Cooperatives,Establish cooperatives for local energy production and management,"30,000",Medium,Mixed,"6,000","1,800,000",4
Efficient Wood Stoves,Distribute efficient wood stoves to reduce deforestation and emissions,"10,000",Medium,Rural,"2,500","500,000",3
Small-Scale Biogas Plants,Develop biogas plants using local organic waste,"20,000",Low,Rural,"4,000","1,200,000",4
Shared Electric Vehicle Fleet,Establish a community electric vehicle sharing program,"15,000",Low,Urban,"7,000","1,000,000",3
Urban Garden Initiatives,Create community gardens to increase local food production,"5,000",Low,Urban,"3,000","300,000",2
Flood-Resilient Infrastructure,Upgrade infrastructure to be resilient against flooding,0,High,Mixed,"5,000","2,000,000",5
Solar-Powered Street Lighting,Install solar-powered street lights to reduce electricity costs,"10,000",Low,Urban,"4,000","600,000",3
Water-Efficient Irrigation,Implement water-efficient irrigation systems for local farms,0,Medium,Rural,"3,500","700,000",3
Eco-Tourism Development,Promote eco-tourism to boost the local economy while preserving nature,0,Medium,Rural,"5,000","1,500,000",4
Reforestation of Mountain Slopes,Plant trees on mountain slopes to prevent soil erosion and absorb CO2,"60,000",High,Mountain,"3,000","5,000,000",7
Sustainable Grazing Practices,Implement sustainable grazing to protect mountain ecosystems,"20,000",Medium,Mountain,"2,000","1,000,000",4
Avalanche Barriers,Build barriers to protect communities from avalanches,0,High,Mountain,"1,000","3,000,000",5
Small Hydropower Stations,Develop small-scale hydropower stations in mountain streams,"40,000",Low,Mountain,"4,000","6,000,000",6
Mountain Eco-Tourism,Promote eco-tourism that respects and preserves mountain ecosystems,"10,000",Medium,Mountain,"5,000","2,500,000",4
Landslide Early Warning System,Implement early warning systems for landslides to protect communities,0,High,Mountain,"2,000","1,500,000",3
