ActionID,ActionName,ActionType,AdaptationCategory,Hazard,Sector,Subsector,PrimaryPurpose,InterventionType,Description,BehavioralChangeTargeted,CoBenefits,EquityAndInclusionConsiderations,GHGReductionPotential,AdaptionEffectiveness,CostInvestmentNeeded,TimelineForImplementation,Dependencies,KeyPerformanceIndicators,Impacts,Intervention Type,BehaviouralChangeTargeted,AdaptationEffectiveness
c40_0001,Building Codes,['mitigation'],,,['stationary_energy'],['all'],['ghg_reduction'],['regulations_and_laws'],"""Building Codes and Standards"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.","The targeted behavioral change that the ""Building Codes and Standards"" climate action aims to achieve is the adoption of environmentally responsible construction practices among builders, developers, and homeowners. This includes prioritizing energy-efficient designs, utilizing sustainable materials, and adhering to regulations that reduce carbon emissions in new buildings. By enforcing stringent building codes, the intervention seeks to shift perceptions about the importance of sustainability in construction, ultimately leading to a widespread commitment to building practices that contribute to climate resilience and reduced greenhouse gas emissions.","{'air_quality': 0, 'water_quality': 1, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""Building Codes and Standards"" climate action promotes equity and inclusion in several ways:

1. **Access to Safe Housing**: By enforcing stringent building codes, the action ensures that all communities, including vulnerable and underserved populations, have access to safe, resilient, and environmentally responsible housing. This helps protect these communities from the adverse effects of climate change.

2. **Energy Efficiency Benefits**: The promotion of energy-efficient buildings can lead to lower utility costs, which disproportionately benefits low-income households that may struggle with energy expenses. This economic relief contributes to greater financial stability for underserved communities.

3. **Health and Safety Improvements**: Enhanced building standards can improve indoor air quality and reduce health risks associated with poor construction practices. Vulnerable populations often face higher health risks, and these improvements can lead to better overall health outcomes.

4. **Community Resilience**: By fostering resilience to climate change through improved building standards, the action helps ensure that underserved communities are better equipped to withstand climate-related events, thereby promoting long-term sustainability and stability.

5. **Inclusive Development**: The formulation of building codes often involves community input, ensuring that the voices of marginalized groups are considered in the decision-making process. This participatory approach fosters a sense of ownership and inclusion among all community members.

Overall, the ""Building Codes and Standards"" action integrates equity and inclusion by prioritizing the needs and well-being of vulnerable communities in the context of sustainable urban development.","{'stationary_energy': '0-19', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,medium,5-10 years,"['Collaboration with local governments to develop and enforce building codes', 'Access to up-to-date research on sustainable building practices and materials', 'Training and education for builders and contractors on new standards', 'Public awareness campaigns to inform stakeholders about the benefits of energy-efficient buildings', 'Funding and financial incentives for implementing energy-efficient technologies in construction']","['Percentage reduction in energy consumption of new buildings', 'Percentage of buildings compliant with updated building codes', 'Reduction in greenhouse gas emissions from the building sector', 'Number of buildings certified under green building standards', 'Percentage increase in the use of sustainable building materials', 'Average resilience score of buildings against climate-related hazards', 'Number of training sessions conducted for builders and architects on new codes', 'Public awareness and engagement levels regarding building codes and standards']","['Reduction in greenhouse gas emissions from stationary energy', 'Improved energy efficiency in buildings', 'Enhanced access to safe and resilient housing for vulnerable communities', 'Lower utility costs benefiting low-income households', 'Improved indoor air quality and health outcomes', 'Increased community resilience to climate change', 'Inclusive development through community input in building codes']",,,
c40_0002,Building Codes,['mitigation'],,,['stationary_energy'],['residential_buildings'],['ghg_reduction'],['regulations_and_laws'],"""Building Codes and Standards, Residential Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.","The targeted behavioral change that the climate action ""Building Codes and Standards, Residential Buildings"" aims to achieve is the adoption of energy-efficient construction practices among builders, developers, and homeowners. This includes prioritizing the use of sustainable materials, implementing energy-saving technologies, and adhering to regulations that mandate environmentally responsible building designs. By fostering a culture of compliance with stringent building codes, the intervention seeks to reduce carbon emissions associated with residential construction and promote a shift towards more sustainable urban development.","{'air_quality': 0, 'water_quality': 1, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The climate action of implementing ""Building Codes and Standards"" for residential buildings promotes equity and inclusion in several ways:

1. **Access to Safe Housing**: By enforcing building codes that prioritize safety and environmental responsibility, vulnerable communities are ensured access to safe and resilient housing, reducing their risk of displacement due to climate-related events.

2. **Energy Efficiency Benefits**: Stricter energy efficiency standards can lower utility costs for residents, particularly benefiting low-income households that may struggle with high energy bills, thus promoting economic equity.

3. **Health Improvements**: Environmentally responsible buildings often incorporate better ventilation and materials that reduce indoor pollutants, leading to improved health outcomes for underserved communities that may be disproportionately affected by poor housing conditions.

4. **Community Resilience**: By enhancing the resilience of residential buildings to climate change impacts, these codes help protect underserved communities from the adverse effects of climate events, fostering a more equitable recovery and adaptation process.

5. **Inclusive Development**: The formulation of these codes often involves community input, ensuring that the voices of vulnerable populations are considered in the decision-making process, thus promoting inclusivity in urban development.

6. **Job Creation**: The implementation of new building standards can create job opportunities in construction and retrofitting, particularly benefiting local workers from underserved communities, thereby supporting economic inclusion. 

Overall, the action of establishing building codes and standards inherently considers the needs and rights of vulnerable and underserved communities, promoting a more equitable and inclusive approach to climate action.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,medium,5-10 years,"['Collaboration with local governments to develop and enforce building codes', 'Access to updated research and data on energy efficiency and sustainable materials', 'Training and resources for builders and contractors on new standards', 'Public awareness and support for sustainable building practices', 'Integration with existing urban planning and zoning regulations']","['Energy efficiency improvements', 'Reduction in carbon emissions', 'Number of buildings compliant with codes', 'Percentage of new constructions meeting sustainability standards', 'Reduction in energy consumption per square foot', 'Increase in use of renewable energy sources in buildings', 'Cost savings from energy-efficient upgrades', 'Improvement in indoor air quality', 'Resilience metrics against climate-related events', 'Stakeholder engagement and compliance rates']","['Reduction in GHG emissions from residential buildings', 'Improved energy efficiency leading to lower utility costs for residents', 'Enhanced safety and resilience of housing for vulnerable communities', 'Creation of job opportunities in construction and retrofitting', 'Increased community engagement in urban development decisions']",,,
c40_0003,Building Codes,['mitigation'],,,['stationary_energy'],['commercial_and_institutional_buildings_and_facilities'],['ghg_reduction'],['regulations_and_laws'],"""Building Codes and Standards, Commercial Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.","The targeted behavioral shift that the climate action ""Building Codes and Standards, Commercial Buildings"" aims to achieve is the adoption of environmentally responsible construction practices among builders, architects, and developers. This includes prioritizing energy efficiency, utilizing sustainable materials, and adhering to stringent building regulations that reduce carbon emissions and enhance resilience to climate change. By enforcing these codes, the intervention seeks to change perceptions about the importance of sustainable building practices, ultimately leading to a widespread commitment to constructing energy-efficient commercial buildings.","{'air_quality': 0, 'water_quality': 1, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The climate action of implementing ""Building Codes and Standards, Commercial Buildings"" promotes equity and inclusion in several ways:

1. **Access to Safe and Healthy Environments**: By enforcing regulations for environmentally responsible buildings, the action ensures that all communities, including vulnerable and underserved populations, have access to safe, healthy, and energy-efficient spaces, reducing exposure to harmful pollutants and improving overall well-being.

2. **Economic Opportunities**: The development and enforcement of building codes can create job opportunities in construction, retrofitting, and maintenance of energy-efficient buildings, particularly benefiting local workers from underserved communities.

3. **Resilience to Climate Change**: By enhancing the resilience of buildings to climate impacts, the action helps protect vulnerable communities that are often disproportionately affected by climate-related disasters, ensuring they have safer living and working conditions.

4. **Energy Cost Savings**: Energy-efficient buildings can lead to lower utility bills, which is particularly beneficial for low-income households and businesses, helping to alleviate financial burdens and promote economic equity.

5. **Community Engagement**: The process of formulating building codes often involves stakeholder engagement, which can include input from underserved communities, ensuring their needs and perspectives are considered in the development of regulations that affect their environments.

6. **Long-term Sustainability**: By promoting sustainable urban development through these codes, the action supports the long-term viability of neighborhoods that may be at risk of displacement or neglect, fostering inclusive growth and stability.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,medium,5-10 years,"['Collaboration with local governments to develop and enforce building codes', 'Access to updated scientific research on energy efficiency and climate resilience', 'Training and resources for builders and contractors on new standards', 'Public awareness and support for sustainable building practices', 'Funding and incentives for compliance with building codes']","['Energy consumption reduction', 'Carbon emissions reduction', 'Percentage of buildings meeting code standards', 'Cost savings from energy efficiency', 'Number of buildings certified under green building standards', 'Improvement in indoor air quality', 'Resilience score against climate impacts', 'Rate of compliance with building codes', 'Reduction in water usage', 'Increase in renewable energy usage in buildings']","['Reduction in greenhouse gas emissions by 80-100% in stationary energy sector', 'Promotion of energy-efficient construction practices among builders and developers', 'Improvement in water quality through sustainable building practices', 'Creation of job opportunities in construction and maintenance', 'Enhanced resilience of buildings to climate change impacts', 'Lower utility bills for low-income households and businesses', 'Increased access to safe and healthy environments for underserved communities']",,,
c40_0004,Building Codes,['mitigation'],,,['stationary_energy'],['commercial_and_institutional_buildings_and_facilities'],['ghg_reduction'],['regulations_and_laws'],"""Building Codes and Standards, Institutional Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.","The targeted behavioral change that the climate action ""Building Codes and Standards, Institutional Buildings"" aims to achieve is the adoption of energy-efficient construction practices among builders, architects, and developers. This intervention seeks to encourage these stakeholders to prioritize environmentally responsible building designs and materials, thereby reducing carbon emissions and enhancing resilience to climate change. By enforcing regulations and standards, the action promotes a shift towards sustainable urban development, ultimately leading to a broader societal acceptance and implementation of energy-efficient practices in the construction industry.","{'air_quality': 0, 'water_quality': 1, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The climate action of implementing Building Codes and Standards for Institutional Buildings promotes equity and inclusion in several ways:

1. **Access to Safe and Healthy Environments**: By enforcing regulations for environmentally responsible buildings, the action ensures that all communities, including vulnerable and underserved populations, have access to safe, healthy, and energy-efficient spaces. This is particularly important for institutions that serve these communities, such as schools and healthcare facilities.

2. **Resilience to Climate Change**: The focus on enhancing resilience through stringent building codes helps protect underserved communities that are often more vulnerable to the impacts of climate change. By ensuring that buildings can withstand climate-related challenges, the action supports the safety and well-being of these populations.

3. **Energy Efficiency and Cost Savings**: Promoting energy-efficient buildings can lead to lower utility costs, which disproportionately benefits low-income households. By reducing energy expenses, the action helps alleviate financial burdens on underserved communities, contributing to economic equity.

4. **Community Engagement in Development**: The formulation of building codes often involves stakeholder engagement, which can include input from marginalized communities. This participatory approach ensures that the needs and concerns of these populations are considered in the development of regulations, fostering a sense of inclusion.

5. **Job Creation and Economic Opportunities**: The implementation of new building standards can create job opportunities in construction and retrofitting, particularly in underserved areas. This can help stimulate local economies and provide employment for community members who may face barriers to job access.

Overall, the action of establishing Building Codes and Standards for Institutional Buildings inherently considers equity and inclusion by prioritizing the needs of vulnerable communities, enhancing their resilience, and promoting access to sustainable and healthy environments.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,medium,5-10 years,"['Collaboration with local governments to develop and enforce building codes', 'Access to updated research and data on energy efficiency and sustainable materials', 'Training and resources for builders and contractors on new standards', 'Public awareness and support for sustainable building practices', 'Integration with existing urban planning and development policies']","['Energy consumption reduction', 'Carbon emissions reduction', 'Number of buildings compliant with codes', 'Percentage of new buildings meeting sustainability standards', 'Cost savings from energy efficiency improvements', 'Increase in renewable energy usage in buildings', 'Reduction in water usage', 'Improvement in indoor air quality', 'Resilience score against climate impacts', 'Stakeholder engagement and training sessions conducted']","['Reduction of GHG emissions by 80-100% in stationary energy sector', 'Promotion of energy-efficient construction practices', 'Improved access to safe and healthy environments for underserved communities', 'Enhanced resilience of buildings to climate change impacts', 'Lower utility costs benefiting low-income households', 'Job creation and economic opportunities in construction', 'Increased community engagement in development processes']",,,
c40_0005,Building Codes,['mitigation'],,,['stationary_energy'],['manufacturing_industries_and_construction'],['ghg_reduction'],['regulations_and_laws'],"""Building Codes and Standards, Industrial Buildings"" entail the formulation and enforcement of regulations guiding the construction of environmentally responsible buildings. By implementing stringent codes, cities promote energy efficiency, reduce carbon emissions, and enhance resilience to climate change, fostering sustainable urban development.","The targeted behavioral shift that the climate action ""Building Codes and Standards, Industrial Buildings"" aims to achieve is the adoption of energy-efficient construction practices among builders, architects, and developers. This shift encourages stakeholders in the construction industry to prioritize environmentally responsible building designs and materials, leading to reduced carbon emissions and enhanced resilience to climate change. By enforcing stringent regulations, the intervention seeks to change perceptions about the importance of sustainability in construction, ultimately fostering a culture of energy efficiency and sustainable urban development.","{'air_quality': 0, 'water_quality': 1, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The climate action of establishing ""Building Codes and Standards, Industrial Buildings"" promotes equity and inclusion in several ways:

1. **Access to Safe and Healthy Environments**: By enforcing regulations for environmentally responsible buildings, the action ensures that all communities, including vulnerable and underserved populations, have access to safe, healthy, and energy-efficient living and working environments.

2. **Economic Opportunities**: The implementation of stringent building codes can create job opportunities in the construction and retrofitting sectors, particularly benefiting low-income individuals and communities that may face barriers to employment.

3. **Resilience to Climate Change**: By enhancing resilience to climate change, the action helps protect underserved communities that are often disproportionately affected by climate impacts, ensuring they are better equipped to withstand environmental challenges.

4. **Reduction of Energy Burden**: Promoting energy efficiency through building standards can lower energy costs for residents and businesses in underserved areas, alleviating the financial strain often experienced by these communities.

5. **Community Engagement**: The formulation of building codes often involves stakeholder engagement, which can include input from vulnerable communities, ensuring their voices and needs are considered in the decision-making process.

6. **Long-term Sustainability**: By fostering sustainable urban development, the action contributes to the overall well-being of all community members, particularly those in marginalized groups who may benefit from improved infrastructure and services. 

Overall, this climate action integrates equity and inclusion by addressing the specific needs and challenges faced by vulnerable and underserved communities while promoting broader environmental and economic benefits.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,medium,5-10 years,"['Collaboration with local governments to develop and enforce building codes', 'Access to updated research and data on energy efficiency and sustainable materials', 'Training and resources for builders and contractors on new standards', 'Public awareness and support for sustainable building practices', 'Integration with existing urban planning and development policies']","['Energy efficiency improvements', 'Reduction in carbon emissions', 'Number of buildings compliant with codes', 'Percentage of new buildings meeting sustainability standards', 'Reduction in energy consumption per square foot', 'Increase in use of renewable energy sources', 'Cost savings from energy efficiency measures', 'Improvement in indoor air quality', 'Resilience metrics against climate impacts', 'Stakeholder engagement and compliance rates']","['Reduction of GHG emissions by 80-100% in stationary energy sector', 'Promotion of energy-efficient construction practices', 'Improved access to safe and healthy environments for underserved communities', 'Creation of job opportunities in construction and retrofitting sectors', 'Enhanced resilience to climate change for vulnerable populations', 'Lower energy costs alleviating financial strain on underserved communities', 'Inclusion of community input in building code formulation']",,,
c40_0006,Retrofit Measures,['mitigation'],,,['stationary_energy'],['all'],['ghg_reduction'],"['programs_and_initiatives', 'infrastructure_investments']","""Retrofit Measures"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.","The targeted behavioral change that the ""Retrofit Measures"" climate action aims to achieve is the increased adoption of energy-efficient practices among building owners and occupants. This includes encouraging individuals and organizations to invest in retrofitting existing buildings with sustainable technologies and practices, thereby reducing greenhouse gas emissions and enhancing overall environmental performance. The initiative seeks to shift perceptions around the benefits of energy efficiency—such as cost savings, improved comfort, and environmental responsibility—ultimately leading to a broader societal commitment to sustainability and climate change mitigation.","{'air_quality': 0, 'water_quality': 0, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""Retrofit Measures"" initiative promotes equity and inclusion by specifically targeting existing buildings in vulnerable or underserved communities, ensuring that these areas benefit from enhanced environmental performance. By focusing on energy efficiency upgrades, the action addresses the disproportionate energy burdens faced by low-income households, thereby reducing their utility costs and improving their living conditions. Additionally, the initiative may create job opportunities in these communities, fostering local economic development and empowering residents through workforce training in sustainable practices. Overall, the action prioritizes the needs of underserved populations, ensuring they have access to the benefits of climate resilience and sustainability.","{'stationary_energy': '0-19', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,high,5-10 years,"['Availability of funding for retrofitting projects', 'Access to skilled labor and contractors for implementation', 'Compliance with local building codes and regulations', 'Availability of energy-efficient materials and technologies', 'Support from local government and stakeholders', 'Public awareness and acceptance of retrofitting initiatives']","['Energy consumption reduction', 'Greenhouse gas emissions reduction', 'Cost savings from energy efficiency', 'Number of buildings retrofitted', 'Percentage of buildings meeting energy efficiency standards', 'Increase in renewable energy usage', 'Occupant satisfaction and comfort levels', 'Return on investment (ROI) for retrofitting projects', 'Reduction in water usage', 'Improvement in indoor air quality']","['Reduction in greenhouse gas emissions from stationary energy', 'Increased energy efficiency in existing buildings', 'Cost savings for low-income households', 'Improved living conditions in underserved communities', 'Job creation and workforce training opportunities in local communities', 'Enhanced environmental performance of buildings']",,,
c40_0007,Retrofit Measures,['mitigation'],,,['stationary_energy'],['residential_buildings'],['ghg_reduction'],"['programs_and_initiatives', 'infrastructure_investments']","""Retrofit Measures, Residential buildings"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.","The targeted behavioral shift that the climate action ""Retrofit Measures, Residential buildings"" aims to achieve is the increased adoption of energy-efficient upgrades and sustainable practices among homeowners and residents. This includes encouraging individuals to invest in retrofitting their existing homes with energy-efficient technologies, such as improved insulation, energy-efficient windows, and renewable energy systems, thereby reducing greenhouse gas emissions and contributing to overall climate change mitigation efforts. The initiative seeks to change perceptions around the affordability, convenience, and benefits of these upgrades, ultimately leading to a broader cultural shift towards sustainable living and energy conservation in residential settings.","{'air_quality': 0, 'water_quality': 0, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""Retrofit Measures, Residential buildings"" initiative promotes equity and inclusion by specifically targeting existing residential structures, which often house vulnerable or underserved communities. By focusing on upgrading these buildings, the action directly addresses the needs of populations that may lack the resources to improve their living conditions independently. 

Additionally, enhancing the environmental performance of these buildings contributes to reducing energy costs for residents, which can alleviate financial burdens on low-income households. The initiative also supports job creation in the local community, particularly in sectors that may employ individuals from underserved backgrounds, thereby fostering economic opportunities. 

Furthermore, by prioritizing energy efficiency and sustainability, the action helps to improve overall living conditions in these neighborhoods, contributing to healthier environments for residents who are often disproportionately affected by climate change and pollution. Overall, the initiative embodies a commitment to uplifting marginalized communities while addressing climate change.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,high,5-10 years,"['Availability of funding for retrofitting projects', 'Access to skilled labor and contractors for implementation', 'Compliance with local building codes and regulations', 'Availability of energy-efficient materials and technologies', 'Community engagement and support for retrofitting initiatives', 'Data on existing building performance and energy usage', 'Partnerships with local governments and organizations for resources and incentives']","['Energy consumption reduction', 'Greenhouse gas emissions reduction', 'Cost savings on energy bills', 'Number of buildings retrofitted', 'Percentage increase in energy efficiency', 'Resident satisfaction with retrofitting', 'Reduction in water usage', 'Increase in renewable energy usage', 'Return on investment (ROI)', 'Compliance with building codes and standards']","['Reduction of greenhouse gas emissions by 80-100% in stationary energy sector', 'Increased adoption of energy-efficient upgrades among homeowners', 'Improved living conditions for vulnerable communities', 'Alleviation of financial burdens on low-income households', 'Job creation in local communities', 'Cultural shift towards sustainable living and energy conservation']",,,
c40_0008,Retrofit Measures,['mitigation'],,,['stationary_energy'],['commercial_and_institutional_buildings_and_facilities'],['ghg_reduction'],"['programs_and_initiatives', 'infrastructure_investments']","""Retrofit Measures, Commercial buildings"" encompass targeted interventions to enhance the environmental performance of existing buildings, promoting energy efficiency and sustainability. This initiative focuses on upgrading structures to reduce emissions and contribute to the city's commitment to climate change mitigation.","The targeted behavioral change that the climate action ""Retrofit Measures, Commercial buildings"" aims to achieve is the increased adoption of energy-efficient practices and technologies among building owners and managers. This includes a shift towards investing in retrofitting existing commercial buildings to enhance their environmental performance, thereby reducing greenhouse gas emissions. The initiative encourages stakeholders to prioritize sustainability in their operations, leading to a broader cultural shift towards energy efficiency and climate-conscious decision-making in the commercial real estate sector.","{'air_quality': 0, 'water_quality': 0, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""Retrofit Measures, Commercial buildings"" initiative promotes equity and inclusion by targeting existing structures that may be located in underserved communities, ensuring that these areas benefit from improved energy efficiency and reduced emissions. By focusing on retrofitting, the action addresses the specific needs of vulnerable populations who may be disproportionately affected by climate change and poor building conditions. 

Additionally, the initiative can create job opportunities in the local workforce, particularly for individuals from marginalized communities, thereby fostering economic inclusion. The emphasis on sustainability and energy efficiency also contributes to healthier living environments, which is crucial for the well-being of underserved populations. Overall, this climate action integrates equity and inclusion by prioritizing the needs of vulnerable communities and enhancing their resilience to climate impacts.","{'stationary_energy': '80-100', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,high,5-10 years,"['Availability of funding for retrofitting projects', 'Access to skilled labor and contractors for implementation', 'Compliance with local building codes and regulations', 'Availability of energy-efficient technologies and materials', 'Engagement and cooperation from building owners and tenants', 'Support from local government and policy frameworks', 'Monitoring and evaluation mechanisms to assess performance improvements']","['Energy consumption reduction', 'Greenhouse gas emissions reduction', 'Cost savings from energy efficiency', 'Percentage of buildings retrofitted', 'Improvement in building energy ratings', 'Occupant satisfaction and comfort levels', 'Return on investment (ROI)', 'Water usage reduction', 'Renewable energy integration', 'Compliance with sustainability standards']","['Significant reduction in greenhouse gas emissions (80-100%) from commercial buildings', 'Increased adoption of energy-efficient practices among building owners and managers', 'Job creation opportunities for marginalized communities', 'Improved resilience of underserved communities to climate impacts', 'Cultural shift towards sustainability in the commercial real estate sector']",,,
c40_0009,New Building Standards,['mitigation'],,,['stationary_energy'],['all'],['ghg_reduction'],['regulations_and_laws'],"""New Building Standards"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.","The targeted behavioral change encouraged by the ""New Building Standards"" climate action is for builders, developers, and property owners to adopt energy-efficient construction practices. This shift aims to ensure that new buildings are designed and constructed with sustainability in mind, leading to a reduction in carbon emissions associated with the building sector. By mandating adherence to these standards, the intervention seeks to influence stakeholders to prioritize environmentally responsible practices in their construction activities, ultimately contributing to sustainable urban development and a decrease in greenhouse gas emissions.","{'air_quality': 1, 'water_quality': 0, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""New Building Standards"" promote equity and inclusion by ensuring that all new constructions, including those in vulnerable or underserved communities, adhere to energy-efficient practices. This helps to reduce energy costs for residents, making housing more affordable and accessible. Additionally, by prioritizing sustainable urban development, these standards can lead to improved living conditions and public health outcomes in marginalized areas. The guidelines also create opportunities for local employment in green construction practices, benefiting community members and fostering economic inclusion. Overall, the action addresses the needs of underserved populations by promoting environmentally responsible practices that enhance their quality of life.","{'stationary_energy': '0-19', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,low,<5 years,"['Regulatory framework to enforce building standards', 'Availability of sustainable construction materials', 'Training and education for builders and architects on energy-efficient practices', 'Public awareness and support for sustainable urban development', 'Collaboration between government, industry, and community stakeholders']","['Reduction in carbon emissions from new buildings', 'Percentage of new buildings meeting energy efficiency standards', 'Increase in the use of sustainable materials in construction', 'Number of buildings certified under green building standards', 'Energy consumption reduction in new constructions', 'Percentage of urban development projects incorporating green spaces']","['Reduction in greenhouse gas emissions from the building sector', 'Improvement in air quality due to decreased emissions', 'Enhanced affordability of housing through reduced energy costs', 'Creation of local employment opportunities in green construction', 'Promotion of sustainable urban development in underserved communities']",,,
c40_0010,New Building Standards,['mitigation'],,,['stationary_energy'],['residential_buildings'],['ghg_reduction'],['regulations_and_laws'],"""New Building Standards, Residential buildings"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.","The targeted behavioral change encouraged by the ""New Building Standards, Residential buildings"" climate action is to promote the adoption of energy-efficient construction practices among builders, developers, and homeowners. This intervention aims to shift perceptions regarding the importance of sustainable building practices, leading to increased compliance with energy-efficient guidelines and a reduction in carbon emissions associated with new residential buildings. Ultimately, the goal is to foster a culture of sustainability in urban development, where environmentally responsible construction becomes the norm rather than the exception.","{'air_quality': 1, 'water_quality': 0, 'habitat': 0, 'cost_of_living': 0, 'housing': -1, 'mobility': 0, 'stakeholder_engagement': 0}","The ""New Building Standards, Residential buildings"" action promotes equity and inclusion in several ways:

1. **Access to Sustainable Housing**: By establishing guidelines for energy-efficient practices, the action ensures that all new residential buildings, including those in underserved communities, are constructed to be environmentally responsible. This can lead to more affordable utility costs for residents, benefiting low-income households.

2. **Healthier Living Environments**: The focus on energy efficiency and sustainable construction can improve indoor air quality and reduce health risks associated with poor building conditions, which disproportionately affect vulnerable populations.

3. **Community Resilience**: By promoting sustainable urban development, the action helps build resilient communities that can better withstand climate impacts, thereby supporting the needs of underserved populations who may be more vulnerable to climate-related challenges.

4. **Job Creation in Underserved Areas**: Implementing new building standards may create job opportunities in construction and related fields, particularly in low-income neighborhoods, fostering economic inclusion and stability.

5. **Equitable Access to Resources**: The standards can encourage the use of local materials and labor, which can help stimulate local economies and ensure that the benefits of sustainable development are shared within the community.

Overall, the action integrates equity and inclusion by ensuring that all communities, particularly those that are vulnerable or underserved, have access to sustainable and healthy living conditions.","{'stationary_energy': '20-39', 'transportation': None, 'waste': None, 'ippu': None, 'afolu': None}",,low,<5 years,"['Regulatory framework to enforce building standards', 'Availability of sustainable building materials', 'Training and education for builders and architects on energy-efficient practices', 'Incentives for developers to adopt green building practices', 'Monitoring and evaluation mechanisms to assess compliance with standards']","['Energy consumption reduction', 'Carbon emissions reduction', 'Percentage of buildings meeting standards', 'Cost savings from energy efficiency', 'Water usage reduction', 'Sustainable materials usage', 'Occupant satisfaction', 'Compliance rate with building codes', 'Renewable energy integration', 'Reduction in urban heat island effect']","['Reduction in carbon emissions from residential buildings', 'Improvement in indoor air quality', 'Increased access to sustainable housing for low-income households', 'Job creation in construction within underserved areas', 'Promotion of community resilience against climate impacts']",,,
