gpc_refno,emissions_factor,units,gas,description,region,reference,emissions_factor_id
I.1.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,52b1d5d9-ce74-49d8-8c7c-699b8bef6b33
I.2.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,4db10957-5949-4d20-81db-9e9047ca02e0
I.3.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,85464263-d494-4cf9-baad-b1fada9de461
I.4.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,99977951-e714-4822-a58b-accf19fc822c
I.5.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,1858ca3e-225e-43dd-841c-3d245cea8e40
I.6.1,14.92,g/MJ Natural Gas,CO2,carbon emission factor,US,Data provided by Japan Natural Gas Association and The Federation of Electric Power Companies,2c513475-6797-4e5f-b25e-e0d33891eef1
II.1.1,0.021,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",effc891c-02de-4123-bb30-5ad0017088c7
II.2.1,0.021,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",46945cc9-b6db-475a-b2bc-a1da37d868e2
II.5.1,0.021,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",64eab424-4a50-4d05-8750-6ae2db85b9c9
II.1.1,0.025,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",3fc5ffd9-ebeb-4b27-8d0d-30e3d5d94b4d
II.2.1,0.025,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",22803eb6-8a52-4383-9538-9a36f23c89f3
II.5.1,0.025,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",17e02ed4-d97e-48fc-940e-85421af1c2cb
II.1.1,0.029,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",b2f96717-8882-475a-a6a8-6d10c577c817
