Year,Sector,Subsector,Emissions (tCO2e),Activity,Unit,Source
2022,Stationary Energy,Residential buildings 1,100.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 2,112.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 3,124.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 4,136.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 5,149.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 6,161.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 7,173.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 8,186.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 9,198.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 10,210.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 11,223.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 12,235.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 13,247.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 14,259.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 15,272.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 16,284.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 17,296.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 18,309.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 19,321.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 20,333.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 21,346.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 22,358.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 23,370.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 24,382.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 25,395.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 26,407.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 27,419.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 28,432.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 29,444.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 30,456.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 31,469.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 32,481.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 33,493.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 34,505.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 35,518.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 36,530.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 37,542.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 38,555.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 39,567.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 40,579.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 41,592.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 42,604.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 43,616.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 44,628.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 45,641.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 46,653.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 47,665.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 48,678.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 49,690.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 50,702.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 51,715.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 52,727.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 53,739.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 54,751.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 55,764.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 56,776.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 57,788.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 58,801.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 59,813.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 60,825.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 61,838.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 62,850.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 63,862.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 64,874.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 65,887.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 66,899.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 67,911.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 68,924.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 69,936.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 70,948.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 71,961.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 72,973.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 73,985.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 74,997.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 75,1010.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 76,1022.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 77,1034.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 78,1047.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 79,1059.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 80,1071.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 81,1084.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 82,1096.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 83,1108.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 84,1120.9,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 85,1133.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 86,1145.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 87,1157.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 88,1170.1,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 89,1182.4,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 90,1194.7,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 91,1207.0,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 92,1219.3,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 93,1231.6,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 94,1243.9,Municipal waste,tonnes,Stress fixture inventory
