region,formula_input_value,formula_input_units,datasource,actor_id,gas,parameter_code,parameter_name,year,formula_name,metadata,rnk,methodology_name,gpc_refno,methodology_id,formulainput_id
Mozambique,45.0,g/capita/day,FAO stat,MZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,218ddeb5-34d7-4c00-bf25-31d7ba8f7c3a
Myanmar,79.0,g/capita/day,FAO stat,MM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,3c8f1019-80ab-434c-adc4-2c134135c0e4
Namibia,59.0,g/capita/day,FAO stat,NA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,20cd91dd-9fc8-43fb-831b-86bb041cc24c
Nepal,65.0,g/capita/day,FAO stat,NP,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b56f630b-bece-4158-b6b9-160c8fc2bf60
Netherlands,108.0,g/capita/day,FAO stat,NL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1d38db5f-7160-423d-bd76-0549ceb15303
New Zealand,94.0,g/capita/day,FAO stat,NZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,9fd06f20-ef3f-428a-acf2-14bf317bb08e
Nicaragua,65.0,g/capita/day,FAO stat,NI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,524131ff-1486-474f-a0ed-d68c7bdf4166
Niger,81.0,g/capita/day,FAO stat,NE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0175850f-9a97-41aa-8eec-f57b68931810
Nigeria,64.0,g/capita/day,FAO stat,NG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,8f3eb3ca-a6c5-4dfa-b0a6-5e3795fe16d7
Norway,109.0,g/capita/day,FAO stat,NO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,65a7a64f-85f6-4b1c-abc8-9c1193f528e4
Oman,88.0,g/capita/day,FAO stat,OM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5e4f331f-b372-411c-9cf8-0a2ffa93728b
Pakistan,64.0,g/capita/day,FAO stat,PK,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,dedee3a4-9ad5-4c95-adef-3bf26b055f80
Panama,75.0,g/capita/day,FAO stat,PA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a422f08d-d3d0-4d32-8907-f02dc4adbdef
Paraguay,67.0,g/capita/day,FAO stat,PY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,dc169cfe-e821-4786-8512-84276c37d87b
Peru,72.0,g/capita/day,FAO stat,PE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,bec95b5a-237a-4832-87b8-6b48d8098c28
Philippines,60.0,g/capita/day,FAO stat,PH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0bd829bf-0915-4a21-8563-1dce5d302de8
Poland,101.0,g/capita/day,FAO stat,PL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,27b71570-622d-48de-8569-2cf3d0c707f3
Portugal,114.0,g/capita/day,FAO stat,PT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,7965ebbb-06f4-4384-bd0b-8f7c369314aa
Republic of Korea,93.0,g/capita/day,FAO stat,KR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,3412e4b1-67d6-4952-a76b-67004c760ca0
Republic of Moldova,72.0,g/capita/day,FAO stat,MD,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,8c9699a6-0753-4c96-a724-5bac4f160ff4
Romania,106.0,g/capita/day,FAO stat,RO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,883d31e7-3e3e-425c-a82e-e75a1e4cb9e0
Russian Federation,101.0,g/capita/day,FAO stat,RU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,8e7eea30-675e-4c11-95b8-420d56475b76
Rwanda,53.0,g/capita/day,FAO stat,RW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,07393905-4ce1-4632-a76e-39c51ac04069
Saint Kitts and Nevis,75.0,g/capita/day,FAO stat,KN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,01827a58-bbb4-482f-ac68-dcedc01125d0
Saint Vincent and the Grenadines,89.0,g/capita/day,FAO stat,VC,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,65522a12-19d1-4795-91b7-0629c857a102
Samoa,80.0,g/capita/day,FAO stat,WS,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,861950a7-c922-4ce5-8e76-703e9d43c6ce
Sao Tome and Principe,61.0,g/capita/day,FAO stat,ST,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,55838475-e96f-4b4e-982a-30f69d3c153b
Saudi Arabia,84.0,g/capita/day,FAO stat,SA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e81f075e-c53c-431c-980d-9952205fa9fe
Senegal,60.0,g/capita/day,FAO stat,SN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5e83b21f-b285-4b8f-9295-d2ac05afdbe0
Serbia,81.0,g/capita/day,FAO stat,RS,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,00808bc7-3c0f-496a-aba0-33efcd916e29
Sierra Leone,55.0,g/capita/day,FAO stat,SL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b7044a76-168b-42d0-8149-836666f515ef
Slovakia,74.0,g/capita/day,FAO stat,SK,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,544d9f47-bbfb-4b84-ae40-55c09e1b80a5
Slovenia,100.0,g/capita/day,FAO stat,SI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5d9ba0d5-66ed-43ce-84b0-29c3407f44b4
Solomon Islands,56.0,g/capita/day,FAO stat,SB,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,7bc8af33-ad7c-4e26-9ca9-d5d39fdea934
South Africa,82.0,g/capita/day,FAO stat,ZA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,309101e1-eeda-469c-91d5-59d749563766
Spain,105.0,g/capita/day,FAO stat,ES,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,daa1001c-73cb-4884-a774-d5daf625dccd
Sri Lanka,57.0,g/capita/day,FAO stat,LK,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,03aee7e3-72e5-4ff1-8516-a82b3d81cf6f
Sudan (former),75.0,g/capita/day,FAO stat,SD,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f00a3953-fa2e-4d12-abee-cb7a296625c6
Suriname,62.0,g/capita/day,FAO stat,SR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,db4f35f0-5b0f-4f54-b90b-e255ec3b1026
Swaziland,56.0,g/capita/day,FAO stat,SZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f598f922-dfbf-48a2-b74f-26903d1c9987
Sweden,108.0,g/capita/day,FAO stat,SE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,c4164740-7277-4ebd-accf-b7dbac7144da
Switzerland,94.0,g/capita/day,FAO stat,CH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,21cd748f-67bd-4b73-a5c7-8cc8517eeea6
Tajikistan,52.0,g/capita/day,FAO stat,TJ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,cdb030a4-24ca-480d-9c1e-2805f70dfbb7
Thailand,59.0,g/capita/day,FAO stat,TH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,36880624-2b2f-46fe-9cf3-e781fa1d76c1
The former Yugoslav Republic of Macedonia,80.0,g/capita/day,FAO stat,MK,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a005fd6a-8b8c-41f1-80b3-65d0001c08cd
Timor-Leste,55.0,g/capita/day,FAO stat,TL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,30f131fe-11c7-4960-add0-bdbcc8c091c3
Togo,55.0,g/capita/day,FAO stat,TG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,da2eee57-c74a-4a0c-9bb8-8031593b0b38
Trinidad and Tobago,76.0,g/capita/day,FAO stat,TT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ce6edcf5-1a1c-4385-9f49-62f3ee0ea054
Tunisia,97.0,g/capita/day,FAO stat,TN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,9304d1fe-5c2e-48f9-b381-b442aae974d6
Turkey,103.0,g/capita/day,FAO stat,TR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b577accd-6442-4fe0-a579-4165c095256c
Turkmenistan,92.0,g/capita/day,FAO stat,TM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,2996eb14-1dd2-47e0-b631-d37e3e807415
Uganda,51.0,g/capita/day,FAO stat,UG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1955aa72-7a73-4ec3-a64e-b4ef2d923825
Ukraine,86.0,g/capita/day,FAO stat,UA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,45147639-d5f2-4270-ba87-de1e4fa5b76d
United Arab Emirates,100.0,g/capita/day,FAO stat,AE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0f4e3e0c-ce91-4e3d-a83f-569148512eb7
United Kingdom,102.0,g/capita/day,FAO stat,GB,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,265af5a1-3fdd-417d-ad1b-d30622934660
United Republic of Tanzania,55.0,g/capita/day,FAO stat,TZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,67f4da33-db59-4bcd-99b4-70db383063b9
United States of America,110.0,g/capita/day,FAO stat,US,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e9befad3-35b1-467c-9675-e76c087facc3
Uruguay,86.0,g/capita/day,FAO stat,UY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b57c1f6f-dcb3-484d-a74b-9ea681d094ea
Uzbekistan,80.0,g/capita/day,FAO stat,UZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a7b4a64a-c291-4bc0-a807-e19d06ff4f57
Vanuatu,67.0,g/capita/day,FAO stat,VU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,307cea3f-8724-42fa-b8b5-a6912b7f31a6
Venezuela (Bolivarian Republic of),84.0,g/capita/day,FAO stat,VE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,af30c960-bba2-4ea2-a32a-a58cb227a12f
Viet Nam,76.0,g/capita/day,FAO stat,VN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,01828322-cdc4-42b5-8525-086ddd2846a0
Yemen,58.0,g/capita/day,FAO stat,YE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,c19f8652-dc28-46f7-b879-dd68ee614802
Zambia,52.0,,,ZM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,9fa84260-c43e-443b-8544-b44c03b1b352
Zimbabwe,53.0,,,ZW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b368e069-3feb-4189-9d6e-04edbaea2e88
Afghanistan,58.0,g/capita/day,FAO stat,AF,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,3eb30020-9c2f-4689-8f66-738d70eb584a
Albania,101.0,g/capita/day,FAO stat,AL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,919b0e8c-0a6a-4e7f-83a8-480783c899bd
Algeria,88.0,g/capita/day,FAO stat,DZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,0d8348cf-e0d0-492a-bb96-0c4667dae00c
Angola,54.0,g/capita/day,FAO stat,AO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,0a623f5d-d2b6-42f7-9527-cbe532ca7168
Argentina,99.0,g/capita/day,FAO stat,AR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,2d39f084-541c-4388-8b76-a529b7009a24
Armenia,85.0,g/capita/day,FAO stat,AM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,6f60783a-a166-4482-b58d-830bd5d343ba
Australia,104.0,g/capita/day,FAO stat,AU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,b1a1ca26-7744-4434-880b-94b89d6d2637
Austria,106.0,g/capita/day,FAO stat,AT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,6946a10c-2944-4589-9e41-fbca1c0a6a16
Azerbaijan,88.0,g/capita/day,FAO stat,AZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,20496fb3-f965-46e8-8e31-fb33820b7a0a
Bangladesh,55.0,g/capita/day,FAO stat,BD,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,92896f81-b17b-46d3-9ddd-c89eb134ceb2
Barbados,91.0,g/capita/day,FAO stat,BB,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,7e064451-4f18-4f31-978a-fa0fd520c5b2
Belarus,92.0,g/capita/day,FAO stat,BY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,325c67b4-bb97-4548-a9a0-a3527f63a298
Belgium,102.0,g/capita/day,FAO stat,BE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,3f333550-71f9-4da8-aa4e-5de79641d434
Belize,71.0,g/capita/day,FAO stat,BZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,90b9155f-4ddd-43a7-bcd2-e733e8b32593
Benin,61.0,g/capita/day,FAO stat,BJ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,98644e91-c68a-47c5-8aae-3fdc45d7af78
Bermuda,89.0,g/capita/day,FAO stat,BM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,af3f72a8-72b6-4069-8fc3-0bda996666a0
Bolivia (Plurinational State of),64.0,g/capita/day,FAO stat,BO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,a193d612-a7b7-4d14-8902-a761769086fb
Bosnia and Herzegovina,90.0,g/capita/day,FAO stat,BA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,5a028cb6-74a2-4bbc-98fa-f932a0a13515
Botswana,64.0,g/capita/day,FAO stat,BW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,ddd3ed2a-20eb-4b85-992b-e21fa1066e8c
Brazil,92.0,g/capita/day,FAO stat,BR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,3ae921df-af7b-4162-bc8f-a63abfd07f39
Brunei Darussalam,84.0,g/capita/day,FAO stat,BN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,4efa3e17-21a7-4678-8fbc-e0319adeeee9
Bulgaria,82.0,g/capita/day,FAO stat,BG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,29bcddbe-6930-4ac7-a80f-34caaaede9c0
Burkina Faso,80.0,g/capita/day,FAO stat,BF,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,a8870d80-ce47-43a2-a666-8dcba679693a
Cabo Verde,75.0,g/capita/day,FAO stat,CV,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,fa600fa7-1e17-41db-90d4-834d05ad3f96
Cambodia,63.0,g/capita/day,FAO stat,KH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,9efae3e4-ef3d-49d3-909b-2ba6b5d0bfec
Cameroon,68.0,g/capita/day,FAO stat,CM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,287dae68-0b3d-4c2d-9a4c-b37498737bd5
Canada,104.0,g/capita/day,FAO stat,CA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,c3eb7394-91f0-4bd5-a0fa-fcedafad5597
Central African Republic,53.0,g/capita/day,FAO stat,CF,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,f3b547c2-bc7b-4c02-bb8f-0ed92f01a6a3
Chad,62.0,g/capita/day,FAO stat,TD,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,dc6ef1e0-230c-4f40-ac8b-08e4b7be923b
Chile,85.0,g/capita/day,FAO stat,CL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,e0bfe731-29c6-4051-a70e-230394eeee55
China,94.0,g/capita/day,FAO stat,CN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,43081c07-6d49-4051-9522-5bad8c74d3c4
Colombia,62.0,g/capita/day,FAO stat,CO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,58855d5b-e4b1-4e2b-8534-c1ad99c0aa17
Congo,50.0,g/capita/day,FAO stat,CG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,5a002c1b-a337-4ab1-ab82-df31f423b02c
Costa Rica,76.0,g/capita/day,FAO stat,CR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,77fd852f-7f21-4db8-aed9-532576b4ddab
Côte d'Ivoire,58.0,g/capita/day,FAO stat,CI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,384373df-c50c-4a66-875a-900a90458919
Croatia,83.0,g/capita/day,FAO stat,HR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,030e6758-db8c-4a14-859a-2351e61c996e
Cuba,83.0,g/capita/day,FAO stat,CU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,b3028253-47ad-4a71-b184-4c17eee7f637
Cyprus,79.0,g/capita/day,FAO stat,CY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,68723069-08d4-4f3d-9a2d-976baad64529
Czech Republic,92.0,g/capita/day,FAO stat,CZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-outside-domestic-calculator-activity,III.4.2,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,ed351b61-75ad-4ca8-9f6a-024024ed2d81
