actor_id,year,population
DE ACH,2009,24947
DE ACH,2007,24969
DE ACH,2010,25014
DE ACH,2015,25018
DE ACH,2017,25445
DE ACH,2021,25776
JP OAM,2015,166760
JP OAM,2010,164454
JP OAM,2021,167874
IT CT9,2017,2301
IT CT9,2018,2311
IT CT9,2008,2329
IT BNP,2018,1312
IT BNP,2017,1321
AT NIK,2018,985
AT NIK,2016,1006
IT TTZ,2018,10196
IT TTZ,2017,10259
IT VEU,2008,5697
IT VEU,2015,5968
IT VEU,2017,5991
IT VEU,2018,5998
CA AIR,2021,74100
CA AIR,2016,61581
IT CCZ,2017,15608
IT CCZ,2018,15644
IT CCZ,2013,15547
IT FEN,2018,6850
IT FEN,2017,6872
IT CEU,2018,7720
IT CEU,2017,7791
IT ASG,2018,3020
IT ASG,2017,3072
IT BGU,2017,3080
IT BGU,2018,3102
IT AZT,2017,4686
IT AZT,2018,4714
IT CVM,2018,2482
IT CVM,2017,2496
IT ACV,2017,961
IT ACV,2018,965
IT GIL,2018,1607
IT GIL,2017,1639
IT BEG,2017,11050
IT BEG,2013,10846
IT BEG,2018,11074
IT GTE,2017,53145
IT GTE,2018,53425
IT CDH,2018,4651
IT CDH,2017,4665
IT CG6,2017,2150
IT CG6,2013,2144
IT CG6,2018,2166
IT CV9,2018,3828
IT CV9,2017,3857
IT ALR,2018,2848
IT ALR,2017,2868
IT 5A5,2018,1722
IT 5A5,2017,1731
IT COA,2018,1177
IT COA,2017,1188
IT GVS,2018,1641
IT GVS,2017,1658
IT GVS,2013,1682
IT CPX,2013,4058
IT CPX,2017,4123
IT CPX,2018,4177
IT BUS,2018,8449
IT BUS,2017,8506
IT BUS,2013,8628
IT CGN,2018,15901
IT CGN,2017,15962
IT CPC,2013,13419
IT CPC,2017,13765
IT CPC,2018,13849
IT GMT,2018,2480
IT GMT,2017,2441
IT FFI,2018,2612
IT FFI,2017,2616
IT 8CR,2018,1163
IT 8CR,2017,1196
IT 8CR,2013,1219
IT BIO,2013,7189
IT BIO,2017,7251
IT BIO,2018,7257
IT AEE,2013,19185
IT AEE,2017,19248
IT AEE,2018,19347
IT GBL,2017,3404
IT GBL,2018,3432
IT CMV,2017,11184
IT CMV,2018,11248
AT LNZ,2014,194522
AT LNZ,2015,198181
AT LNZ,2018,204846
JP AMI,2021,35276
JP AMI,2015,37544
JP AMI,2010,39611
DE REN,2019,28470
DE REN,2015,27617
DE REN,2017,28789
DE REN,2018,28566
DE REN,1975,34407
DE BDC,2014,14047
DE BDC,2017,14217
DE BDC,2019,14263
IT FDG,2018,878
IT FDG,2017,889
JP YIH,2010,228186
JP YIH,2015,232922
JP YIH,2020,239146
IT 6CM,2018,12369
AT PUF,2016,9527
AT PUF,2018,9701
AT TWR,2009,1500
AT TWR,2004,1480
AT TWR,2013,1520
AT TWR,2020,1610
AT TWR,2021,1640
AT TWR,1880,466
AT TWR,1869,473
AT TWR,1900,473
AT TWR,1890,484
AT TWR,1910,559
AT TWR,1934,586
AT TWR,1923,594
AT TWR,1939,629
AT TWR,1951,777
AT TWR,1961,889
AT TWR,1971,1195
AT TWR,1981,1313
AT TWR,1991,1341
AT TWR,2001,1383
AT TWR,2002,1413
AT TWR,2003,1462
AT TWR,2008,1484
AT TWR,2007,1485
AT TWR,2014,1485
AT TWR,2005,1489
AT TWR,2006,1492
AT TWR,2010,1501
AT TWR,2015,1513
AT TWR,2016,1514
AT TWR,2017,1531
AT TWR,2011,1547
AT TWR,2012,1539
AT TWR,2018,1539
AT TWR,2019,1626
AT KME,2015,1484
AT KME,2016,1464
AT KME,2018,1493
DE GFN,1980,5100
DE GFN,1969,4530
DE GFN,1983,5040
DE GFN,1961,3427
DE GFN,1962,3596
DE GFN,1963,3758
DE GFN,1964,3982
DE GFN,1965,4165
DE GFN,1967,4382
DE GFN,1971,4437
DE GFN,1968,4468
DE GFN,1970,7914
DE GFN,1972,4531
DE GFN,1975,4791
DE GFN,1974,4801
DE GFN,1976,4812
DE GFN,1978,4901
DE GFN,1979,5023
DE GFN,1982,5058
DE GFN,1981,5089
DE GFN,1985,5137
DE GFN,1987,8093
DE GFN,1986,5191
DE GFN,1988,5282
DE GFN,1990,5564
DE GFN,1992,5696
DE GFN,1993,5721
DE GFN,1994,5758
DE GFN,1995,5917
DE GFN,1997,6228
DE GFN,1998,6371
DE GFN,2011,8346
DE GFN,2012,8237
DE GFN,1999,6431
DE GFN,2010,6516
DE GFN,2014,8314
DE GFN,2000,6565
DE GFN,2005,6577
DE GFN,2009,6577
DE GFN,2001,6623
DE GFN,2008,6634
DE GFN,2002,6644
DE GFN,2007,6662
DE GFN,2004,6675
DE GFN,2003,6691
DE GFN,2015,8313
DE GFN,2019,8256
DE GFN,2017,8269
DE GFN,2013,8255
DE GFN,1966,4253
DE GFN,1973,4726
DE GFN,1977,4872
DE GFN,1984,5002
DE GFN,1989,5389
DE GFN,1991,5667
DE GFN,1996,6129
DE GFN,2006,6579
AT BE8,2016,3426
AT BE8,2018,3562
US CMI,1860,1727
US CMI,2010,81055
US CMI,2020,88302
RU DYR,2018,15604
IT AIA,2020,3598
IT AIA,2018,3726
IT AIA,2017,3765
IT BIZ,2017,8707
IT BIZ,2018,8743
IT BIZ,2019,8822
IT BLG,2020,2131
IT BLG,2017,2141
IT BLG,2018,2144
IT BSC,2019,3107
IT BSC,2018,3146
IT BSC,2017,3156
IT ANL,2018,2114
IT ANL,2017,2179
IT ANL,2019,2259
IT CIN,2019,6008
IT CIN,2018,6027
IT CIN,2017,6086
IT FOT,2018,1670
IT FOT,2017,1673
IT COU,2018,5492
IT COU,2019,5492
IT COU,2017,5498
IT LS2,2018,1868
IT LS2,2017,1922
IT BIC,2019,17856
IT BIC,2018,17981
IT BIC,2017,18117
IT PER,2018,3209
IT PER,2017,3234
IT PIL,2017,35970
IT PIL,2018,35947
IT CRM,2019,28969
IT CRM,2018,28976
IT CRM,2017,29131
IT IVR,2019,23442
IT IVR,2018,23637
IT IVR,2017,23647
NL HGL,1815,2812
NL HGL,1830,3152
NL HGL,1840,6428
NL HGL,1849,6691
NL HGL,1859,7218
NL HGL,1980,75990
NL HGL,2000,80460
NL HGL,1869,9042
NL HGL,1879,9996
NL HGL,1889,13744
NL HGL,1899,18447
NL HGL,1909,23941
NL HGL,1920,30511
NL HGL,1930,34338
NL HGL,1947,45524
NL HGL,1960,62022
NL HGL,1971,70761
NL HGL,1990,76371
NL HGL,2018,80593
NL HGL,2019,80683
NL HGL,2010,80747
NL HGL,2017,80802
NL HGL,2021,81049
NL HGL,2016,81074
IT PT9,2018,997
IT PT9,2017,998
IT ZSQ,2018,2606
IT ZSQ,2017,2644
IT SLW,2018,1840
IT SLW,2017,1872
IT SFF,2017,3110
IT SFF,2018,3102
IT RON,2018,1881
IT RON,2017,1905
IT SAD,2017,3612
IT SAD,2018,3632
IT RVV,2018,12539
IT RVV,2017,12603
IT NLO,2018,47721
IT NLO,2017,48048
US LAS,1940,8422
US LAS,2000,478434
US LAS,1910,800
US LAS,1900,25
US LAS,1920,2304
US LAS,1930,5165
US LAS,1950,24624
US LAS,1960,64405
US LAS,1970,125787
US LAS,1980,164674
US LAS,1990,258295
US LAS,2010,583756
US LAS,2020,641903
US LAS,2017,648224
IT VC5,2018,842
IT VC5,2017,849
IT CMK,2017,4700
IT CMK,2018,4692
IT CSY,2018,7190
IT CSY,2017,7081
IT CES,2017,3821
IT CES,2018,3854
IT SPV,2017,3031
IT SPV,2018,3032
IT SC3,2017,10899
IT SC3,2018,10955
IT LUS,2018,3429
IT LUS,2017,3477
IT VLZ,2018,1174
IT VLZ,2017,1191
IT 6TR,2018,2711
IT 6TR,2017,2741
IT MOE,2018,17572
IT MOE,2017,17616
JP HIJ,2016,1202000
JP HIJ,1889,83387
JP HIJ,2010,1173980
JP HIJ,1945,137197
JP HIJ,1942,419182
JP HIJ,1980,992736
JP HIJ,1985,1051748
JP HIJ,1990,1093707
JP HIJ,1995,1117117
JP HIJ,2000,1134134
JP HIJ,2005,1154391
JP HIJ,2015,1194034
JP HIJ,2021,1198021
JP HIJ,2017,1198555
JP HIJ,2014,1256301
JP HIJ,2018,1306589
IT RND,2018,1251
IT RND,2017,1269
IT AV8,2018,865
IT AV8,2017,882
IT SMU,2018,13104
IT SMU,2017,13164
IT FUT,2018,3979
IT FUT,2017,4085
IT ZND,2017,11425
IT ZND,2018,11502
IT VDZ,2018,13017
IT VDZ,2017,13056
IT BPS,2018,10348
IT BPS,2017,10442
IT CIY,2018,29845
IT CIY,2015,30156
IT CMY,2018,2779
IT CMY,2017,2798
IT CMY,2008,2969
IT PMP,2018,25207
IT PMP,2016,25358
CA CAL,2016,1239220
CA CAL,2011,1096835
CA CAL,2021,1306784
IT GMI,2017,2871
IT GMI,2018,2878
IT ADD,2013,10666
IT ADD,2018,10715
IT ADD,2017,10729
IT BDV,2018,4151
IT BDV,2017,4155
IT AAR,2017,9962
IT AAR,2018,9978
JP MAR,2015,110010
JP MAR,2020,109165
JP MAR,2010,110473
IT VAU,2018,3384
IT VAU,2017,3429
IT SFS,2018,5959
IT SFS,2017,6043
IT NSC,2018,26946
IT NSC,2017,27277
IT ML6,2018,1049
IT ML6,2017,1072
IT VGE,2017,8672
IT VGE,2018,8677
IT MBC,2017,49634
IT MBC,2018,49992
IT ZGQ,2018,11769
IT ZGQ,2017,11898
AT RTE,1880,1470
AT RTE,2006,5730
AT RTE,2013,6090
AT RTE,2014,6210
AT RTE,2015,6340
AT RTE,1869,1411
AT RTE,1890,1495
AT RTE,1900,1576
AT RTE,1910,1924
AT RTE,1923,1966
AT RTE,1939,2476
AT RTE,1951,3478
AT RTE,1961,4285
AT RTE,1971,5113
AT RTE,1981,5132
AT RTE,1991,5308
AT RTE,2001,5709
AT RTE,2002,5724
AT RTE,2005,5727
AT RTE,2004,5743
AT RTE,2007,5773
AT RTE,2003,5777
AT RTE,2010,5785
AT RTE,2009,5851
AT RTE,2008,5855
AT RTE,2011,6026
AT RTE,2012,6038
AT RTE,2016,6506
AT RTE,2017,6638
AT RTE,2018,6704
AT RTE,2019,6772
AT RTE,2020,6918
AT RTE,2021,6989
AT WOF,2018,25035
AT WOF,2016,25051
AT LDG,2016,27393
AT LDG,2018,28698
IT WAO,2017,800
IT WAO,2018,779
AT SHT,2005,15990
AT SHT,2016,17674
AT SHT,2018,18026
IT PQA,2018,3242
IT PQA,2017,3308
IT VL5,2018,1322
IT VL5,2017,1337
IT ULL,2017,1290
IT ULL,2018,1295
IT RNG,2018,2710
IT RNG,2017,2674
IT CMW,2018,7976
IT CMW,2017,8129
IT HJT,2017,550
IT HJT,2018,580
IT ZQK,2017,662
IT ZQK,2018,666
IT ODV,2018,994
IT ODV,2017,996
IT IBM,2017,2010
IT IBM,2018,2012
IT TSL,2018,2405
IT TSL,2017,2406
IT RBO,2018,1546
IT RBO,2017,1558
IT QML,2018,621
IT QML,2017,631
IT MZ3,2017,1523
IT MZ3,2018,1534
IT LZG,2018,554
IT LZG,2017,558
IT MBU,2018,1641
IT MBU,2017,1676
IT ZVF,2018,3714
IT ZVF,2017,3756
IT VSB,2017,1490
IT VSB,2018,1481
IT IIC,2018,760
IT IIC,2017,780
IT ZT2,2017,1040
IT ZT2,2018,1023
IT SEV,2013,23240
IT SEV,2018,23456
IT SEV,2017,23474
IT ZIJ,2018,2180
IT ZIJ,2017,2214
IT UBD,2018,10565
IT UBD,2017,10582
IT ANG,2017,2274
IT ANG,2018,2292
IT BRN,2018,6624
IT BRN,2017,6644
IT AMO,2018,2227
IT AMO,2017,2239
IT ALV,2017,12004
IT ALV,2018,12013
IT FDV,2017,4126
IT FDV,2018,4163
IT AOR,2018,11606
IT AOR,2015,11672
IT FOD,2018,6190
IT FOD,2017,6047
IT GR6,2018,2792
IT GR6,2017,2808
IT CVN,2017,5910
IT CVN,2018,5924
IT 2CS,2017,5640
IT 2CS,2018,5585
IT ATE,2017,10570
IT ATE,2018,10580
IT CBD,2018,6090
IT CBD,2017,6129
IT DLA,2018,346
IT DLA,2017,358
IT GUR,2018,8966
IT GUR,2017,9042
IT CUP,2017,4805
IT CUP,2018,4832
IT GML,2018,4754
IT GML,2017,4803
IT VCD,2018,14019
IT RTI,2018,47436
IT RTI,2017,47552
US HOU,2016,2303000
US HOU,2020,2304580
US HOU,2010,2100263
US HOU,2013,2195914
US HOU,2017,2319603
RU APS,2019,39762
RU APS,2018,40016
IT TYA,2018,287
IT TYA,2017,291
IT ZVD,2018,1335
IT ZVD,2017,1339
IT VMF,2018,1845
IT VMF,2017,1873
IT VBA,2018,2094
IT VBA,2017,2162
IT ZUO,2018,4247
IT ZUO,2017,4256
IT OO8,2018,1254
IT OO8,2017,1265
IT VAA,2017,2459
IT VAA,2018,2464
IT VOS,2017,3340
IT VOS,2018,3231
IT SLU,2018,1949
IT SLU,2017,1971
IT RRU,2018,165
IT RRU,2017,167
IT RD5,2017,1611
IT RD5,2018,1658
IT TMD,2018,487
IT TMD,2017,488
IT TSG,2018,725
IT TSG,2017,732
IT ZOC,2018,3742
IT ZOC,2015,3773
IT SIV,2017,6304
IT SIV,2018,6321
IT OOO,2018,1285
IT OOO,2017,1302
IT ZAI,2018,2600
IT ZAI,2017,2598
IT VPM,2018,4922
IT VPM,2017,4951
IT PMU,2017,1528
IT PMU,2018,1539
IT VOY,2001,1702
IT VOY,2018,1737
IT VOY,2004,1743
IT VOY,2017,1757
IT VOY,1991,1807
IT OLN,2017,12409
IT OLN,2018,12444
IT C4C,2018,1329
IT C4C,2017,1351
IT RCR,2018,930
IT RCR,2017,924
IT ZPA,2018,6702
IT ZPA,2017,6841
IT OVM,2018,1507
IT OVM,2017,1535
IT TA2,2018,7100
IT TA2,2017,7152
IT PD2,2018,5740
IT PD2,2017,5777
IT SPR,2017,19354
IT SPR,2018,19378
IT MTF,2018,48786
IT MTF,2017,49029
IT OEI,2018,5580
IT OEI,2017,5614
IT GIN,2018,22430
IT GIN,2017,22547
IT TAS,2018,16076
IT TAS,2017,16109
IT LES,2018,6347
IT LES,2017,6352
IT ZUR,2017,5389
IT SSK,2018,1309
IT SSK,2017,1343
IT LZ2,2017,11929
IT LZ2,2018,11934
IT LAA,2018,3486
IT LAA,2017,3504
IT LP4,2018,8085
IT LP4,2017,8101
IT OIP,2017,6134
IT OIP,2018,6153
IT ZSY,2017,6336
IT ZSY,2018,6373
IT GU2,2018,5681
IT GU2,2017,5748
IT ZCU,2018,9381
IT ZCU,2017,9436
IT CSQ,2018,19777
IT CSQ,2017,19846
IT SNC,2018,8169
IT SNC,2017,8226
IT LAI,2018,4420
IT LAI,2017,4482
IT GNP,2018,1694
IT GNP,2017,1701
IT MT3,2018,1621
IT MT3,2017,1637
IT RDM,2017,1070
IT RDM,2018,1064
IT VLL,2017,1681
IT VLL,2018,1698
IT PE4,2017,6300
IT PE4,2018,6367
IT ZXH,2017,1705
IT ZXH,2018,1718
IT RD3,2017,3711
IT RD3,2018,3717
IT RPN,2018,5939
IT RPN,2017,5952
IT PDP,2018,8426
IT PDP,2017,8439
IT SBG,2017,12113
IT SBG,2018,12151
IT CAL,2013,17253
IT CAL,2018,17914
IT STF,2018,49091
IT STF,2013,49093
IT ZSS,2017,7780
IT ZSS,2018,7774
IT ACB,2018,1573
IT ACB,2017,1601
IT ACB,2008,1745
IT TQU,2018,1221
IT TQU,2017,1248
IT AVV,2018,178
IT AVV,2017,182
IT ADM,2018,2239
IT ADM,2017,2263
IT BON,2017,14440
IT BON,2018,14217
IT ALM,2018,5604
IT ALM,2017,5619
IT POG,2018,9791
IT POG,2017,9869
IT FNO,2018,2946
IT FNO,2017,2975
IT LDA,2017,9961
IT LDA,2018,9978
IT NON,2017,15882
IT NON,2018,15957
AT UBA,2016,2006
AT UBA,2018,2036
JP ISE,2020,122432
JP ISE,2015,127817
JP ISE,2010,130271
IT LMX,2018,6680
IT LMX,2017,6730
IT ZSF,2017,3120
IT ZSF,2018,3102
IT PEI,2018,3811
IT PEI,2017,3858
IT SF3,2018,620
IT SF3,2017,630
IT ZKX,2018,3320
IT ZKX,2017,3343
IT MDU,2018,2135
IT MDU,2017,2183
IT GL5,2018,1655
IT GL5,2017,1669
IT GEG,2018,1218
IT GEG,2017,1227
IT DMP,2018,4356
IT DMP,2017,4373
IT ZRD,2018,7338
IT ZRD,2017,7356
IT ONO,2018,2303
IT ONO,2017,2308
IT OOX,2018,1657
IT OOX,2017,1673
JP YGJ,2021,147210
JP YGJ,2010,148271
JP YGJ,2015,149313
IT SBD,2013,1570
IT SBD,2017,1550
IT SBD,2018,1529
IT ZHH,2018,8290
IT ZHH,2013,8243
IT ZHH,2017,8266
IT OLG,2017,6991
IT OLG,2018,7024
IT ZXZ,2018,952
IT ZXZ,2017,963
IT ZXZ,2013,968
IT MEE,2013,4065
IT MEE,2017,4159
IT MEE,2018,4163
IT TRZ,2018,12090
IT TRZ,2013,12130
IT TRZ,2017,12102
IT SFC,2017,4954
IT SFC,2013,4961
IT SFC,2018,4982
IT TZV,2013,20497
IT TZV,2017,20944
IT TZV,2018,20956
IT RVB,2017,5316
IT RVB,2018,5339
IT NPP,2017,4860
IT NPP,2018,4939
IT VZG,2017,4332
IT VZG,2018,4348
IT M8V,2018,4485
IT M8V,2017,4491
IT ZRP,2018,5815
IT ZRP,2017,5817
IT SDG,2017,8432
IT SDG,2018,8457
IT ZML,2018,4893
IT ZML,2017,4896
IT RPD,2017,11012
IT RPD,2018,11028
IT LZE,2017,6916
IT LZE,2018,6958
IT SNV,2018,9958
IT TMS,2018,4770
IT TMS,2017,4785
IT ZTY,2018,1875
IT ZTY,2017,1889
IT SOA,2017,3000
IT SOA,2018,3019
IT TVR,2018,5804
IT TVR,2017,5805
IT SNY,2017,17630
IT SNY,2018,17694
IT NVP,2017,6974
IT NVP,2022,6984
IT PIF,2018,2162
IT PIF,2017,2173
IT ZUF,2017,27843
IT ZUF,2018,27909
IT ZSP,2018,2093
IT ZSP,2017,2115
IT XAV,2017,11758
IT XAV,2018,11818
IT ROD,2017,14471
IT ROD,2018,14561
IT PGR,2018,24959
IT PGR,2017,25116
IT LMZ,2018,9929
IT LMZ,2017,9959
IT FND,2017,39736
IT FND,2018,39779
IT TRC,2017,46131
IT TRC,2018,46323
IT PRV,2018,14365
IT PRV,2017,14467
IT PTA,2018,14915
IT PTA,2017,14942
IT GAE,2018,20545
IT GAE,2017,20674
US BVH,2020,32701
US BVH,2019,33792
US BVH,2010,34109
IT STR,2001,450
IT MEN,2015,39462
IT MEN,2017,40047
IT MEN,2018,40485
GB BSH,2001,134293
JP KCZ,2021,688870
JP KCZ,2015,337190
JP KCZ,2010,343393
RU ZSK,2019,24768
RU ZSK,2018,24912
RU ZSK,2020,24919
RU ZIK,2019,39938
RU ZIK,2018,40366
RU ZIK,2017,40635
RU ZHL,2015,151985
RU ZTT,2018,166885
RU ZTT,2017,167978
RU ZTT,2016,169057
AT FSD,2007,7457
AT FSD,2016,7703
AT FSD,2018,7909
UA PLV,2021,283402
IT SV3,2017,6910
IT SV3,2018,6827
UA VIN,1878,23591
UA VIN,2010,367610
UA VIN,1926,52454
UA VIN,2021,370601
UA VIN,2018,371855
UA VIN,2015,372432
IT COI,2018,16693
IT COI,2017,16705
JP STM,2005,1176314
JP STM,2010,1222434
JP STM,2015,1263979
JP STM,2021,1325843
IT CCA,2018,16262
IT CCA,2017,16418
IT GLS,2018,2821
IT GLS,2017,2854
IT GD8,2017,2626
IT GD8,2018,2652
JP TWZ,2018,344470
JP TWZ,2015,340386
JP TWZ,2020,342464
JP TWZ,2010,341924
JP KWS,2010,1425512
JP KWS,2015,1475213
JP KWS,2020,1539522
IT TYV,2020,3178
IT TYV,2018,3274
IT TYV,2017,3292
IT SDJ,2018,910
IT SDJ,2017,912
IT BEB,2018,2357
IT BEB,2017,2383
IT RQS,2017,1897
IT MDG,2018,4482
IT MDG,2017,4533
IT ZDG,2018,5137
IT ZDG,2017,5165
IT TR9,2018,946
IT TR9,2017,975
IT CII,2018,50770
IT CII,2017,51330
IT CII,2016,51582
IT ARE,2004,94675
IT ARE,2018,99419
IT ARE,2017,99469
IT ARE,2016,99541
IT ARE,2015,99543
IT ENO,2018,27243
IT ENO,2017,27586
IT LCC,2016,94892
IT LCC,2017,94989
IT LCC,2018,95441
IT SLH,2018,3279
IT SLH,2017,3303
IT RAG,2020,826
IT RAG,2018,833
IT SUA,2018,6340
IT SUA,2017,6414
IT TCV,2018,594
IT TCV,2017,605
IT STT,2018,47220
IT STT,2017,47485
IT VVO,2019,14144
IT VVO,2017,14938
IT VVO,2018,15042
IT FTL,2018,1873
IT FTL,2017,1905
IT VRE,2019,33564
IT VRE,2018,33781
IT VRE,2017,34034
IT ZEX,2017,15649
IT ZEX,2018,15672
IT ICF,2018,7201
IT ICF,2017,7262
RU ASB,1989,84470
RU ASB,1939,28906
RU ASB,1959,60053
RU ASB,2018,64091
RU ASB,2017,64666
RU ASB,2010,68893
RU ASB,1970,75508
RU ASB,2002,76328
RU ASB,1979,78673
IT GAR,2017,11528
IT GAR,2018,11538
IT BTS,2017,4065
IT BTS,2018,4077
IT LOG,2018,3815
IT LOG,2017,3826
IT MMI,2017,656
IT MMI,2018,657
IT MAI,2018,3469
IT MAI,2017,3487
IT MRO,2018,5097
IT MRO,2017,5131
IT ORZ,2018,12419
IT ORZ,2017,12566
IT AJA,2018,8830
IT AJA,2017,8821
IT BRE,2018,5601
IT BRE,2017,5621
IT GUS,2017,15100
IT GUS,2018,15032
IT BRT,2017,5293
IT BRT,2018,5345
IT PCT,2018,563
IT PCT,2017,566
IT CNQ,2017,10451
IT CNQ,2018,10473
IT SRM,2017,8102
IT SRM,2018,8111
IT SIZ,2017,11261
IT SIZ,2018,11263
IT RVC,2017,4551
IT RVC,2018,4568
IT MFC,2018,2278
IT MFC,2017,2295
IT SZN,2017,4679
IT SZN,2018,4746
IT SCM,2017,5526
IT SCM,2018,5536
IT VTN,2017,4340
IT VTN,2018,4295
IT ZTI,2017,8217
IT ZTI,2018,8243
IT CSO,2017,36460
IT CSO,2018,36497
IT F8T,2018,2906
IT F8T,2017,2944
IT P4G,2018,6469
IT P4G,2017,6523
IT AI7,2018,6187
IT AI7,2017,6225
IT MMA,2017,9930
IT MMA,2018,9872
IT CFD,2018,18601
IT CFD,2017,18679
IT PM2,2018,2651
IT PM2,2017,2705
IT ZUT,2018,4596
IT ZUT,2017,4678
IT CMA,2018,7328
IT CMA,2017,7422
IT MTP,2017,12023
IT MTP,2018,12134
IT VME,2017,16035
IT VME,2018,16073
IT LAZ,2018,3162
IT LAZ,2017,3165
IT CDR,2017,7919
IT CDR,2018,7979
AT FEK,2016,5275
AT FEK,2018,5361
AT ICH,2016,13901
AT ICH,2018,14133
AT FAU,2018,540
AT FAU,2016,522
AT SIP,2016,3503
AT SIP,2018,3515
AT BGW,2016,2880
AT BGW,2018,2889
CA BET,2016,17396
CA BET,2021,20888
AT BGA,2018,3980
AT BGA,2016,4148
AT SDG,2016,4997
AT SDG,2018,5253
AT LPS,2016,3883
AT LPS,2018,4037
AT HAG,2016,5499
AT HAG,2018,5548
AT KUC,2016,7118
AT KUC,2018,7274
AT SOL,1991,3000
AT SOL,1880,1560
AT SOL,2011,3530
AT SOL,2008,3570
AT SOL,1869,1437
AT SOL,1890,1521
AT SOL,1900,1544
AT SOL,1910,1607
AT SOL,1923,1613
AT SOL,1939,1635
AT SOL,1934,1648
AT SOL,1951,1864
AT SOL,1961,2008
AT SOL,1971,2434
AT SOL,1981,2675
AT SOL,2001,3364
AT SOL,2002,3411
AT SOL,2004,3442
AT SOL,2003,3476
AT SOL,2009,3488
AT SOL,2010,3523
AT SOL,2013,3534
AT SOL,2014,3535
AT SOL,2012,3543
AT SOL,2006,3554
AT SOL,2005,3561
AT SOL,2015,3562
AT SOL,2016,3597
AT SOL,2018,3631
AT SOL,2007,3641
AT SOL,2017,3641
AT SOL,2020,3657
AT SOL,2019,3688
AT SOL,2021,3722
DE TKN,1900,623
DE TKN,1925,772
DE TKN,2017,17970
DE TKN,1975,13157
DE TKN,1987,14891
DE TKN,1991,15989
DE TKN,2011,17573
DE TKN,2012,17655
DE TKN,2009,17693
DE TKN,2014,17696
DE TKN,2013,17724
DE TKN,2005,17761
DE TKN,2010,17868
DE TKN,2015,17947
DE TKN,2016,17998
DE TKN,1875,580
DE TKN,1970,1604
DE TKN,1950,1786
DE TKN,1995,16191
DE TKN,2019,18035
IT FAV,2017,4292
IT FAV,2018,4351
IT FDM,2017,7440
IT FDM,2018,7335
IT KMR,2018,32328
IT KMR,2017,32368
IT YZA,2008,1235
IT YZA,2018,1358
IT YZA,2017,1369
IT BZY,2018,18963
IT BZY,2017,19116
IT NC2,2018,7528
IT NC2,2017,7533
IT AXZ,2018,10866
IT AXZ,2017,10901
IT CTR,2018,15209
IT CTR,2017,15293
IT ZHF,2018,5571
IT ZHF,2017,5587
AT VLH,2016,61218
AT VLH,2018,61879
DE ASN,2019,27220
DE ASN,2014,27701
DE ASN,2017,27712
JP ANA,2020,69259
JP ANA,2015,73019
JP ANA,2010,76063
US MJH,2000,15056
IT THI,2018,1902
IT THI,2017,1905
IT ZJY,2018,5216
IT ZJY,2017,5221
AT GDN,2018,13191
AT GDN,2016,13199
IT AAA,2018,9860
IT AAA,2017,9964
IT MFI,2018,12471
IT MFI,2013,12725
IT SMQ,2018,6338
IT SMQ,2017,6386
IT SCK,2018,40488
IT SCK,2017,40713
AT AHI,2016,4798
AT AHI,2018,4839
IT AEM,2018,1741
IT AEM,2017,1744
AT ATG,2016,2800
AT ATG,2018,2927
IT RDO,2018,1230
IT RDO,2017,1198
AT BXG,2011,2800
AT BXG,1971,2560
AT BXG,2015,2870
AT BXG,2018,2970
AT BXG,1869,984
AT BXG,1880,1146
AT BXG,1900,1196
AT BXG,1890,1219
AT BXG,1910,1301
AT BXG,1923,1589
AT BXG,1939,1692
AT BXG,1934,1727
AT BXG,1951,1906
AT BXG,1961,2327
AT BXG,1981,2594
AT BXG,1991,2639
AT BXG,2002,2769
AT BXG,2001,2776
AT BXG,2008,2786
AT BXG,2003,2787
AT BXG,2007,2798
AT BXG,2004,2803
AT BXG,2006,2803
AT BXG,2012,2805
AT BXG,2005,2811
AT BXG,2010,2834
AT BXG,2013,2838
AT BXG,2009,2849
AT BXG,2014,2854
AT BXG,2016,2899
AT BXG,2017,2954
AT BXG,2020,3012
AT BXG,2019,3023
AT BXG,2021,3043
AT LOF,2016,2031
AT LOF,2018,2037
AT BGM,2018,7450
AT BGM,2016,7478
DE OBS,1950,4180
DE OBS,1975,9230
DE OBS,1875,931
DE OBS,2011,10830
DE OBS,2019,11810
DE OBS,1925,2382
DE OBS,1970,9287
DE OBS,1987,10034
DE OBS,2012,11167
DE OBS,2013,11353
DE OBS,2014,11456
DE OBS,2015,11596
DE OBS,2016,11627
DE OBS,2017,11657
AT PRB,2016,2221
AT PRB,2018,4483
IT ZDS,2014,16010
IT ZDS,2018,16580
IT ZDS,2004,14148
IT ZDS,2017,16356
AT GRG,2016,7192
AT GRG,2018,7262
IT NSV,2017,3171
IT NSV,2018,3187
AT BRU,2019,15837
AT BRU,2018,15885
AT BRU,2016,15892
AT SWO,2009,2290
AT SWO,2003,2239
AT SWO,2018,2515
AT SWO,1939,950
AT SWO,1951,1060
AT SWO,2002,2220
AT SWO,1880,798
AT SWO,1923,948
AT SWO,1971,1419
AT SWO,2001,2209
AT SWO,2004,2263
AT SWO,2008,2283
AT SWO,2010,2286
AT SWO,2006,2291
AT SWO,2012,2305
AT SWO,2014,2332
AT SWO,2015,2334
AT SWO,2016,2422
AT SWO,2017,2496
AT SWO,1890,860
AT SWO,2005,2280
AT SWO,2019,2520
AT SWO,1869,665
AT SWO,1910,918
AT SWO,1900,933
